,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.6657531,0.7705778,0.68246734,0.53205436,0.6657531,0.6991667,0.6657531,0.7660235,0.68245995
1,2,0.81615865,0.8766551,0.68246734,0.58218586,0.7493056,0.6991667,0.6657531,0.7660235,0.68245995
2,3,0.8328692,0.9176769,0.682471,0.5821932,0.7325951,0.6991667,0.7326025,0.7660235,0.68245995
3,4,0.8328692,0.9385279,0.7158883,0.6657493,0.73259145,0.71587723,0.86629754,0.83287287,0.68245995
4,5,0.8328692,0.92218304,0.78273404,0.64903516,0.71587723,0.74930185,0.81615865,0.81615865,0.68245995
5,6,0.8328692,0.92318094,0.7827304,0.7325914,0.74930185,0.7325877,0.81615865,0.8328692,0.68245995
6,7,0.8328692,0.922603,0.79944456,0.61561054,0.6991631,0.7158736,0.81615865,0.832873,0.68245995
7,8,0.8328692,0.9398363,0.79944456,0.6991704,0.7493056,0.6991631,0.81615865,0.79944456,0.68245995
8,9,0.8328692,0.940337,0.79944456,0.6824635,0.6991705,0.6991631,0.8328692,0.81615865,0.68245995
9,10,0.8328692,0.94028205,0.8328692,0.6824562,0.6991667,0.68245256,0.8328692,0.8161551,0.68245995
10,11,0.8328692,0.9402382,0.8328692,0.66574943,0.7660161,0.6991667,0.8328692,0.8161588,0.68245995
11,12,0.8328692,0.94083416,0.81615496,0.6991704,0.7325951,0.6991668,0.8328692,0.8328692,0.68245995
12,13,0.8328692,0.9239044,0.81615496,0.6991704,0.74930197,0.6991631,0.8328692,0.83287287,0.68245995
13,14,0.8328692,0.92406523,0.81615496,0.7158809,0.71588093,0.6991631,0.8328692,0.8495833,0.68245995
14,15,0.8328692,0.92403954,0.81615496,0.73259145,0.71588093,0.6991631,0.8328692,0.8495833,0.68245995
15,16,0.8328692,0.92417145,0.81615496,0.7493019,0.7158809,0.6991631,0.8328692,0.8161551,0.68245995
16,17,0.8328692,0.92366695,0.81615496,0.7158809,0.7325951,0.6991631,0.8328692,0.8495833,0.68245995
17,18,0.8328692,0.92374736,0.81615496,0.71588093,0.6991704,0.6991631,0.8328692,0.8328692,0.68245995
18,19,0.8328692,0.9237107,0.81615496,0.7158809,0.6991705,0.68245256,0.8328692,0.8328692,0.68245995
19,20,0.8328692,0.9073292,0.81615496,0.71588457,0.71588457,0.6991631,0.8328692,0.8495833,0.68245995
20,21,0.8328692,0.90710276,0.81615496,0.74930555,0.7158809,0.6991631,0.8328692,0.8495833,0.68245995
21,22,0.8328692,0.9072343,0.81615496,0.7493056,0.7660161,0.7158773,0.8328692,0.8328692,0.68245995
22,23,0.8328692,0.9069967,0.81615496,0.7660124,0.71588093,0.6991631,0.8328692,0.8328692,0.68245995
23,24,0.8328692,0.9066019,0.81615496,0.76601607,0.7158809,0.7158773,0.8328692,0.8328692,0.68245995
24,25,0.7827266,0.9067445,0.81615496,0.74930924,0.7493056,0.7158736,0.8328692,0.8328692,0.68245995
25,26,0.7827266,0.9066862,0.81615496,0.7493056,0.6991741,0.7158736,0.8328692,0.81615865,0.68245995
26,27,0.7827266,0.90659845,0.81615496,0.73258775,0.71588457,0.7158736,0.8328692,0.81615865,0.68245995
27,28,0.7660124,0.9060211,0.81615496,0.7493056,0.66574943,0.7158736,0.8328692,0.81615865,0.68245995
28,29,0.7660124,0.90567034,0.81615496,0.7827266,0.7325914,0.73258775,0.8328692,0.81615865,0.68245995
29,30,0.7660124,0.9054254,0.81615496,0.7325951,0.66574943,0.73258775,0.8328692,0.81615865,0.68245995
30,31,0.7660124,0.9049759,0.81615496,0.7660161,0.66574574,0.73258775,0.8328692,0.81615865,0.68245995
31,32,0.7660124,0.9046179,0.81615496,0.7493019,0.6991705,0.73258775,0.8328692,0.81615865,0.68245995
32,33,0.7660124,0.9043108,0.81615496,0.7660161,0.6490316,0.73258775,0.8328692,0.81615865,0.68245995
33,34,0.7660124,0.9037223,0.81615496,0.71588093,0.71588457,0.7493019,0.8328692,0.81615865,0.68245995
34,35,0.7660124,0.9036784,0.81615496,0.7325877,0.7325951,0.7325877,0.8328692,0.81615865,0.68245995
35,36,0.7660124,0.9023771,0.79944444,0.7660124,0.7325951,0.7493019,0.8328692,0.81615865,0.68245995
36,37,0.7660124,0.9012877,0.79944444,0.7493056,0.71587723,0.7493019,0.8328692,0.81615865,0.68245995
37,38,0.7660124,0.90055656,0.79944444,0.7493056,0.68245995,0.7493019,0.8328692,0.8328692,0.68245995
38,39,0.7660124,0.8998985,0.79944444,0.7493019,0.68245995,0.7493019,0.8328692,0.8328692,0.68245995
39,40,0.7660124,0.89965,0.79944444,0.7827266,0.6824636,0.7493019,0.8328692,0.81615865,0.68245995
40,41,0.7660124,0.8992295,0.79944444,0.7493019,0.7158809,0.7325877,0.8328692,0.81615865,0.68245995
41,42,0.7660124,0.89931715,0.79944444,0.7325951,0.71588093,0.7493019,0.8328692,0.81615865,0.68245995
42,43,0.7660124,0.89909804,0.79944444,0.7660124,0.68245983,0.7493019,0.8328692,0.81615865,0.68245995
43,44,0.7660124,0.8992294,0.79944444,0.7660161,0.68246365,0.7493019,0.8328692,0.81615865,0.68245995
44,45,0.7660124,0.8994087,0.79944444,0.74930185,0.6824636,0.7493019,0.8328692,0.81615865,0.68245995
45,46,0.7660124,0.8996353,0.79944444,0.7660161,0.7325951,0.7493019,0.8328692,0.81615865,0.68245995
46,47,0.7660124,0.8827494,0.79944444,0.7827266,0.66574943,0.7493019,0.8328692,0.81615865,0.68245995
47,48,0.7660124,0.88251173,0.79944444,0.7492982,0.6824599,0.7493019,0.8328692,0.81615865,0.68245995
48,49,0.7660124,0.8824167,0.79944444,0.7325914,0.73259884,0.7493019,0.8328692,0.7994445,0.68245995
