,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.5458611,0.67908496,0.66694653,0.58119947,0.5458611,0.6619133,0.5458611,0.79817533,0.67232877
1,2,0.8385321,0.7918793,0.66694653,0.5963209,0.70733654,0.6619133,0.5458611,0.79817533,0.67232877
2,3,0.8284364,0.85421526,0.68208647,0.64678454,0.7073399,0.6619133,0.70732176,0.79817533,0.67232877
3,4,0.853672,0.88788635,0.71742123,0.63668144,0.7123804,0.6619205,0.7880686,0.7931163,0.67232877
4,5,0.84358007,0.9178575,0.75778544,0.7073438,0.69219667,0.66191685,0.80320835,0.8183445,0.67232877
5,6,0.84358007,0.9236086,0.7779693,0.70228875,0.7174208,0.68210447,0.8082487,0.83348054,0.67232877
6,7,0.8385359,0.933708,0.78806496,0.7275204,0.7376195,0.6821007,0.80825245,0.8486167,0.67232877
7,8,0.8385396,0.9392339,0.7931129,0.7123989,0.72750914,0.6669609,0.8183444,0.8284364,0.67232877
8,9,0.8334917,0.9344142,0.80320483,0.7174283,0.7426527,0.65687996,0.838521,0.83348066,0.67232877
9,10,0.8334917,0.9393629,0.8133005,0.73759764,0.73760474,0.6619204,0.8435688,0.8284365,0.67232877
10,11,0.82844764,0.93940717,0.80825645,0.7174282,0.7678956,0.65686893,0.8385247,0.84357995,0.67232877
11,12,0.8233997,0.9397637,0.8082601,0.73256445,0.7325681,0.6619204,0.8385247,0.8183519,0.67232877
12,13,0.8233997,0.93435544,0.8133041,0.7376269,0.732568,0.65687263,0.82843274,0.82338494,0.67232877
13,14,0.8233997,0.93475276,0.8183519,0.742649,0.7376158,0.64173657,0.83348066,0.82843655,0.67232877
14,15,0.8233997,0.93458354,0.8234035,0.7476894,0.75779617,0.6619204,0.8284365,0.8435725,0.67232877
15,16,0.8233997,0.9350359,0.8234035,0.71742463,0.76789916,0.65687627,0.8284365,0.82843286,0.67232877
16,17,0.8183557,0.93472326,0.8284513,0.7527448,0.74770784,0.6619204,0.8284365,0.8233923,0.67232877
17,18,0.8183557,0.9348372,0.8284513,0.7123656,0.7426674,0.6568763,0.8334843,0.8233924,0.67232877
18,19,0.81331146,0.93454283,0.818363,0.7577889,0.76284397,0.6619204,0.8334843,0.8233887,0.67232877
19,20,0.80322325,0.93436986,0.818363,0.7477116,0.762844,0.6619241,0.83853215,0.8183519,0.67232877
20,21,0.80322325,0.93445474,0.8334991,0.7325681,0.7527484,0.67201245,0.83853215,0.81330407,0.67232877
21,22,0.7931276,0.9345907,0.828455,0.74770415,0.77294326,0.67201245,0.83853215,0.81330043,0.67232877
22,23,0.7931276,0.93448764,0.8234108,0.7678734,0.76284397,0.6619204,0.83853215,0.8233997,0.67232877
23,24,0.78807974,0.9290905,0.8234108,0.7477079,0.76284397,0.67201245,0.83853215,0.833488,0.67232877
24,25,0.7830319,0.9292229,0.8234108,0.73760486,0.7931163,0.66191316,0.83853215,0.8233959,0.67232877
25,26,0.7729362,0.9291679,0.81836665,0.737605,0.7779838,0.66191685,0.833488,0.8233923,0.67232877
26,27,0.7678883,0.92903554,0.8234108,0.75778514,0.7729359,0.66191685,0.8385359,0.82844007,0.67232877
27,28,0.76284045,0.92868614,0.8284586,0.7224688,0.7729396,0.66191685,0.8385359,0.8284364,0.67232877
28,29,0.76284045,0.9334582,0.828455,0.73760855,0.7678918,0.66191685,0.833488,0.83853215,0.67232877
29,30,0.75779635,0.9333919,0.83349913,0.74265635,0.74770045,0.65687263,0.8385359,0.83348054,0.67232877
30,31,0.7527485,0.9332117,0.83349913,0.75273716,0.7729471,0.6518285,0.8385359,0.84357625,0.67232877
31,32,0.7527485,0.9330205,0.828455,0.7275166,0.7476968,0.66191685,0.8385359,0.8284364,0.67232877
32,33,0.7527485,0.9326636,0.83349913,0.74769694,0.7830428,0.6518285,0.8385359,0.8233923,0.67232877
33,34,0.7527485,0.9319795,0.82845134,0.757796,0.78808314,0.656869,0.8385359,0.83852845,0.67232877
34,35,0.7527485,0.9315196,0.8234072,0.72246504,0.79312736,0.65182483,0.8385359,0.83852845,0.67232877
35,36,0.7527485,0.9310485,0.83349913,0.7678844,0.77797633,0.65687263,0.833488,0.8334769,0.67232877
36,37,0.7527485,0.930905,0.828455,0.75779986,0.74265623,0.65687263,0.84357995,0.8435689,0.67232877
37,38,0.7527485,0.9256843,0.81331885,0.7628403,0.75779986,0.65182483,0.8385359,0.8486167,0.67232877
38,39,0.7527485,0.9254047,0.8183667,0.7426528,0.7628476,0.6568763,0.833488,0.8385247,0.67232877
39,40,0.7527485,0.9252173,0.8234072,0.73255694,0.76283664,0.65182483,0.833488,0.8435725,0.67232877
