,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.74953973,0.7399526,0.6744009,0.54917085,0.74953973,0.62430966,0.74953973,0.6493571,0.6493534
1,2,0.799631,0.87697124,0.6744009,0.5742147,0.624306,0.62430966,0.74953973,0.6493571,0.6493534
2,3,0.74954337,0.93486434,0.7745872,0.5992621,0.5992622,0.62430966,0.67440456,0.6493571,0.6493534
3,4,0.74954337,0.9627827,0.7244996,0.54916716,0.5992621,0.6493571,0.74954337,0.799631,0.6493534
4,5,0.74953973,0.939222,0.7244959,0.57422197,0.69944847,0.59926575,0.7745872,0.7745872,0.6493534
5,6,0.74953973,0.94045305,0.7244959,0.57422197,0.5742183,0.59926575,0.7745872,0.7745836,0.6493534
6,7,0.7244959,0.9651682,0.7244959,0.57421833,0.6493571,0.59926575,0.7745872,0.82467854,0.6493534
7,8,0.7244959,0.9655298,0.69945204,0.5992621,0.6493571,0.59926575,0.7745872,0.7745872,0.6493534
8,9,0.7244959,0.9658475,0.69945204,0.59926575,0.6493608,0.62430966,0.7745872,0.799631,0.6493534
9,10,0.7244959,0.96618354,0.67440456,0.62431324,0.67440826,0.62431324,0.7745872,0.74954337,0.6493534
10,11,0.7244959,0.9660924,0.6994484,0.64935714,0.7244959,0.59926575,0.7745872,0.7745872,0.6493534
11,12,0.7244959,0.9415635,0.6994484,0.5742183,0.59926575,0.59926575,0.7745872,0.7745872,0.6493534
12,13,0.7244959,0.94147223,0.6994484,0.64935714,0.59926575,0.59926575,0.7745872,0.799631,0.6493534
13,14,0.7244959,0.9414174,0.6994484,0.59925854,0.6493608,0.62430966,0.7745872,0.7244959,0.6493534
14,15,0.7244959,0.9413518,0.6994484,0.67440456,0.6493608,0.62430966,0.7745872,0.74954337,0.6493534
15,16,0.7244959,0.94118375,0.6744009,0.7244922,0.59926945,0.59926575,0.7745872,0.74954337,0.6493534
16,17,0.7244959,0.94072723,0.6744009,0.674401,0.67440826,0.59926575,0.74954337,0.799631,0.6493534
17,18,0.74954337,0.9405446,0.6493571,0.62431324,0.6493608,0.59926575,0.74954337,0.7495361,0.6493534
18,19,0.7244959,0.9406285,0.6493571,0.62430966,0.6493608,0.59926575,0.74954337,0.7244922,0.6493534
19,20,0.7244959,0.94040936,0.6493571,0.5992621,0.64935714,0.59926575,0.74954337,0.7745836,0.6493534
20,21,0.7244959,0.9403583,0.6493571,0.59926575,0.67440456,0.59926575,0.7244996,0.7745836,0.6493534
21,22,0.74953973,0.9402779,0.6493571,0.62430966,0.69944847,0.59926575,0.7244996,0.7495361,0.6493534
22,23,0.74953973,0.91508436,0.6493571,0.6744046,0.67440456,0.59926575,0.7244996,0.7745836,0.6493534
23,24,0.74953973,0.9148653,0.6493571,0.5992621,0.69945204,0.59926575,0.7244996,0.7745836,0.6493534
24,25,0.74953973,0.9149127,0.6493571,0.64935714,0.59926945,0.59926575,0.7244996,0.74953973,0.6493534
25,26,0.7745872,0.91523045,0.6744009,0.67439723,0.59926945,0.59926575,0.7244996,0.74953973,0.6493534
26,27,0.7745872,0.91514283,0.6493571,0.59926575,0.62431324,0.59926575,0.7244996,0.72449225,0.6493534
27,28,0.7745872,0.91497123,0.6493571,0.62430966,0.67440456,0.62431324,0.7244996,0.7495361,0.6493534
28,29,0.7745872,0.9146207,0.6493571,0.59926575,0.59926575,0.59926575,0.7244996,0.72449225,0.6493534
29,30,0.74953973,0.9148143,0.6493571,0.62430966,0.67440456,0.59926575,0.7244996,0.69944847,0.6493534
30,31,0.7244922,0.9146718,0.6493571,0.59926575,0.6493608,0.59926575,0.69945204,0.7745836,0.6493534
31,32,0.7244922,0.9145403,0.6493571,0.64935714,0.62431324,0.62431324,0.7244996,0.74953973,0.6493534
32,33,0.7244922,0.9143175,0.6493571,0.62431324,0.5742183,0.59926575,0.69945204,0.7745836,0.6493534
33,34,0.6994484,0.9389523,0.6493571,0.62430966,0.6493608,0.62431324,0.69945204,0.7495361,0.6493534
34,35,0.6994484,0.9388135,0.6493571,0.5742183,0.64935714,0.59926575,0.7244996,0.7495361,0.6493534
35,36,0.6994484,0.937915,0.6493571,0.67440456,0.62431693,0.59926575,0.7244996,0.72449225,0.6493534
36,37,0.6994484,0.937294,0.6493571,0.62430966,0.59926575,0.62431324,0.7244996,0.72449225,0.6493534
37,38,0.6994484,0.9361801,0.6744009,0.64935714,0.6493608,0.62431324,0.69945204,0.7495361,0.6493534
38,39,0.6994484,0.91032535,0.6744009,0.62431324,0.62431324,0.59926575,0.69945204,0.7495361,0.6493534
39,40,0.6994484,0.9352816,0.6493571,0.5742183,0.67440826,0.62431324,0.7244996,0.7495361,0.6493534
40,41,0.6994484,0.90992004,0.6744009,0.69944847,0.7244996,0.59926575,0.7244996,0.7495361,0.6493534
41,42,0.6994484,0.93492,0.6744009,0.62431324,0.62431693,0.62431324,0.7244996,0.7495361,0.6493534
42,43,0.6994484,0.9347886,0.6744009,0.59926575,0.6493608,0.59926575,0.7244996,0.7495361,0.6493534
43,44,0.6994484,0.9348324,0.6744009,0.6243096,0.6243096,0.62431324,0.7244996,0.7495361,0.6493534
44,45,0.6994484,0.93501866,0.6744009,0.62430966,0.69945204,0.62431324,0.7244996,0.7495361,0.6493534
45,46,0.6994484,0.9350624,0.6744009,0.62430966,0.5992658,0.62431324,0.7244996,0.7495361,0.6493534
46,47,0.6994484,0.934931,0.6744009,0.59926575,0.62431324,0.62431324,0.7244996,0.7495361,0.6493534
47,48,0.6994484,0.9348324,0.6744009,0.6744009,0.67440456,0.62431324,0.7244996,0.72449225,0.6493534
48,49,0.6994484,0.9347886,0.6744009,0.6493571,0.57422197,0.59926575,0.7244996,0.74953973,0.6493534
49,50,0.6994484,0.9347886,0.6744009,0.59926575,0.6493644,0.62431324,0.7244996,0.74953973,0.6493534
50,51,0.6994484,0.93461335,0.6994484,0.62430966,0.6994484,0.62431324,0.7244996,0.74953973,0.6493534
51,52,0.6994484,0.9346571,0.6994484,0.64935714,0.5992621,0.62431324,0.7244996,0.74953973,0.6493534
52,53,0.6994484,0.9347995,0.6994484,0.62431324,0.6493608,0.62431324,0.7244996,0.74953973,0.6493534
53,54,0.6994484,0.9347886,0.67440456,0.64935714,0.62431324,0.62431324,0.7244996,0.74953973,0.6493534
54,55,0.6994484,0.93461335,0.67440456,0.62431324,0.59926945,0.62431324,0.7244996,0.74953973,0.6493534
55,56,0.6994484,0.93479955,0.67440456,0.59926575,0.59926575,0.62431324,0.7244996,0.74953973,0.6493534
56,57,0.6994484,0.9096607,0.67440456,0.64935714,0.62431324,0.62431324,0.7244996,0.74953973,0.6493534
57,58,0.6994484,0.88479596,0.6994484,0.62430966,0.6243096,0.64935714,0.7244996,0.72449225,0.6493534
58,59,0.6994484,0.90974844,0.6994484,0.6744046,0.62431324,0.62431324,0.7244996,0.74953973,0.6493534
59,60,0.6994484,0.9097521,0.6994484,0.6744046,0.6493608,0.62431324,0.7244996,0.74953973,0.6493534
60,61,0.6994484,0.9098398,0.6994484,0.64935714,0.6493608,0.62431324,0.7244996,0.74953973,0.6493534
61,62,0.6994484,0.9098836,0.6994484,0.64935714,0.67440826,0.62431324,0.7244996,0.74953973,0.6493534
62,63,0.6994484,0.88483983,0.6994484,0.59926575,0.59926575,0.62431324,0.7244996,0.74953973,0.6493534
63,64,0.6994484,0.88483983,0.6994484,0.64935714,0.59926575,0.62431324,0.7244996,0.7745872,0.6493534
64,65,0.6994484,0.88483983,0.6994484,0.59926575,0.57422197,0.62431324,0.7244996,0.7745872,0.6493534
65,66,0.6994484,0.8848872,0.6994484,0.62430966,0.6493608,0.59926575,0.7244996,0.7745872,0.6493534
66,67,0.6994484,0.8848872,0.6994484,0.6744046,0.59926945,0.59926575,0.7244996,0.7745872,0.6493534
67,68,0.6994484,0.8848836,0.6994484,0.6744009,0.6493644,0.62431324,0.69945204,0.7745872,0.6493534
68,69,0.6994484,0.8849821,0.6994484,0.59926575,0.5491744,0.62431324,0.69945204,0.7745872,0.6493534
69,70,0.6994484,0.88474846,0.6994484,0.62431324,0.5491745,0.62431324,0.69945204,0.7745872,0.6493534
70,71,0.6994484,0.88493836,0.6994484,0.64935344,0.62431324,0.62431324,0.69945204,0.74953973,0.6493534
