,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
54,55,0.7789966,0.92240953,0.7790148,0.7589124,0.7388282,0.62833726,0.8593701,0.8191906,0.6886085
55,56,0.7789966,0.9227684,0.7790148,0.72878057,0.7087003,0.62833726,0.8593701,0.7890552,0.6886085
56,57,0.7789966,0.92249715,0.7689709,0.7187329,0.70869637,0.63838124,0.8593701,0.79910284,0.6886085
57,58,0.7789966,0.922717,0.7689709,0.7589124,0.74887216,0.63838124,0.8593701,0.7990991,0.6886085
58,59,0.7789966,0.9226731,0.7689709,0.758916,0.7086927,0.63838124,0.8593701,0.80914676,0.6886085
59,60,0.7789966,0.92276084,0.7790149,0.74887216,0.7388283,0.63838124,0.8593701,0.80914676,0.6886085
60,61,0.7789966,0.9227611,0.7689709,0.7287805,0.78905153,0.62833726,0.8593701,0.7990991,0.6886085
61,62,0.7789966,0.9229808,0.7689709,0.75890875,0.7388283,0.63838124,0.8593701,0.7890552,0.6886085
62,63,0.7789966,0.9229368,0.7790148,0.7187329,0.73882455,0.62833726,0.8593701,0.7890552,0.6886085
63,64,0.7789966,0.9229368,0.7689709,0.72878057,0.74887586,0.63838124,0.8593701,0.7990991,0.6886085
64,65,0.7789966,0.92302465,0.7689709,0.7388208,0.71874046,0.63838124,0.8593701,0.7990991,0.6886085
65,66,0.7789966,0.9230685,0.7689709,0.7689636,0.7287806,0.63838124,0.8593701,0.7990991,0.6886085
66,67,0.7789966,0.9228488,0.7689709,0.7589124,0.73883194,0.63838124,0.8593701,0.7990991,0.6886085
67,68,0.7789966,0.9230245,0.7689709,0.74887216,0.68860483,0.6484252,0.8593701,0.7890552,0.6886085
68,69,0.7789966,0.92298794,0.7689709,0.7086889,0.7086928,0.63838124,0.8593701,0.7790113,0.6886085
69,70,0.7789966,0.9228488,0.75892335,0.7488721,0.7488723,0.62833726,0.8593701,0.7890552,0.6886085
70,71,0.7789966,0.92307585,0.75892335,0.7287807,0.7689601,0.62833726,0.8593701,0.7890552,0.6886085
71,72,0.7789966,0.9232515,0.75892335,0.7488647,0.6986488,0.6484252,0.8593701,0.77901495,0.6886085
72,73,0.7789966,0.9232516,0.75892335,0.74887204,0.72878444,0.63838124,0.8593701,0.78905886,0.6886085
73,74,0.7789966,0.9231638,0.75892335,0.7287805,0.7287844,0.62833726,0.8593701,0.78905886,0.6886085
74,75,0.7789966,0.9232516,0.75892335,0.76895636,0.72878426,0.62833726,0.8593701,0.768971,0.6886085
75,76,0.7789966,0.9233834,0.75892335,0.7388245,0.72878057,0.63838124,0.8593701,0.768971,0.6886085
76,77,0.7789966,0.9236032,0.75892335,0.74886847,0.6986489,0.63838124,0.8593701,0.76897097,0.6886085
77,78,0.7789966,0.9236983,0.75892335,0.74886847,0.67855734,0.6484252,0.8593701,0.77901495,0.6886085
78,79,0.7789966,0.92364705,0.75892335,0.7589124,0.71874034,0.6484252,0.8593701,0.76897097,0.6886085
79,80,0.7789966,0.9238302,0.75892335,0.74887204,0.7388357,0.6484252,0.8593701,0.77901495,0.6886085
80,81,0.7789966,0.9238302,0.75892335,0.76895636,0.74887574,0.63838124,0.8593701,0.76897097,0.6886085
81,82,0.76895255,0.92387426,0.75892335,0.78904426,0.68860495,0.63838124,0.8593701,0.77901495,0.6886085
82,83,0.76895255,0.9237863,0.75892335,0.7388245,0.67856467,0.63838124,0.8593701,0.76897097,0.6886085
83,84,0.76895255,0.91374224,0.74887943,0.74887204,0.7086927,0.63838124,0.8593701,0.76897097,0.6886085
84,85,0.76895255,0.91383016,0.74887943,0.74886847,0.7086891,0.6484252,0.8593701,0.76897097,0.6886085
85,86,0.76895255,0.913962,0.74887943,0.77900034,0.68860495,0.63838124,0.8593701,0.76897097,0.6886085
86,87,0.76895255,0.913962,0.74887943,0.7388281,0.71874034,0.63838124,0.8593701,0.76897097,0.6886085
87,88,0.76895255,0.913962,0.74887943,0.7689563,0.6986451,0.63838124,0.8593701,0.76897097,0.6886085
88,89,0.76895255,0.90409374,0.73883545,0.74886847,0.71874034,0.63838124,0.8593701,0.7790185,0.6886085
89,90,0.76895255,0.90413773,0.73883545,0.75890875,0.69865614,0.63838124,0.8593701,0.76897097,0.6886085
90,91,0.76895255,0.90409386,0.7488793,0.7187329,0.6986524,0.63838124,0.8593701,0.7790149,0.6886085
91,92,0.76895255,0.90409386,0.7488793,0.74886477,0.6986525,0.63838124,0.8593701,0.7790149,0.6886085
92,93,0.76895255,0.9041011,0.73883545,0.71873283,0.69864887,0.63838124,0.8593701,0.7790149,0.6886085
93,94,0.76895255,0.9041011,0.7488793,0.76896,0.678561,0.63838124,0.8593701,0.7689673,0.6886085
94,95,0.76895255,0.9042767,0.7488793,0.7689563,0.70869285,0.63838124,0.8593701,0.78905886,0.6886085
95,96,0.76895255,0.9042695,0.7488793,0.7790003,0.68860114,0.63838124,0.8593701,0.77901125,0.6886085
96,97,0.76895255,0.9043647,0.7488793,0.7488684,0.69865257,0.63838124,0.8593701,0.78905886,0.6886085
97,98,0.76895255,0.9043647,0.7488793,0.7689564,0.70869267,0.63838124,0.8593701,0.78905886,0.6886085
98,99,0.7589086,0.9044086,0.7488793,0.7589161,0.66851705,0.6283374,0.8593701,0.7890552,0.6886085
