,k,knn,lof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.6657531,0.73315394,0.6657438,0.6657531,0.64485556,0.6657531,0.7702076,0.7075293
1,2,0.8746574,0.8330811,0.5821867,0.7493101,0.64485556,0.6657531,0.7702076,0.7075293
2,3,0.85377383,0.94482136,0.66575295,0.6866365,0.64485556,0.70753855,0.7702076,0.7075293
3,4,0.85376924,0.9674456,0.7075338,0.68663645,0.68663645,0.811993,0.811993,0.7075293
4,5,0.8328811,0.9687476,0.60308397,0.72841734,0.6657437,0.83287656,0.8537647,0.7075293
5,6,0.85376924,0.9902251,0.70753384,0.64485097,0.6866365,0.8328811,0.89554554,0.7075293
6,7,0.85376924,0.9698754,0.68664104,0.7075292,0.6866365,0.8328811,0.8746528,0.7075293
7,8,0.85376924,0.9701085,0.58218664,0.74931467,0.6657437,0.85376924,0.89554095,0.7075293
8,9,0.85376924,0.99105155,0.7075292,0.7493193,0.6657437,0.874662,0.8746574,0.7075293
9,10,0.85376924,0.9706934,0.68664116,0.72842664,0.6866365,0.874662,0.8746574,0.7075293
10,11,0.85376924,0.9912983,0.6866365,0.70752925,0.6866365,0.874662,0.8328719,0.7075293
11,12,0.85376924,0.9915267,0.72841734,0.77020746,0.6657437,0.874662,0.85376006,0.7075293
12,13,0.85376924,0.9918555,0.7284219,0.8119884,0.66574836,0.85377383,0.8328719,0.7075293
13,14,0.85376924,0.9916271,0.7075338,0.7075338,0.6866365,0.85377383,0.8328719,0.7075293
14,15,0.85376924,0.9916546,0.728422,0.79110014,0.6866365,0.85377383,0.8328719,0.7075293
15,16,0.85376924,0.991216,0.7075338,0.7911002,0.66574836,0.8328811,0.85376465,0.7075293
16,17,0.85376924,0.9908686,0.6866411,0.7075384,0.66574836,0.85376924,0.85376465,0.7075293
17,18,0.85376924,0.9909279,0.7075338,0.77020746,0.6448556,0.85376924,0.8746528,0.7075293
18,19,0.85376924,0.99119747,0.7075292,0.7702075,0.66574836,0.85376924,0.85376006,0.7075293
19,20,0.85376924,0.99086845,0.7284219,0.7910956,0.6866365,0.85376924,0.85376006,0.7075293
20,21,0.85376924,0.9907999,0.7075385,0.7493194,0.6448556,0.85376924,0.89554554,0.7075293
21,22,0.85376924,0.99086833,0.7075338,0.7075385,0.6448556,0.8328811,0.85376465,0.7075293
22,23,0.85376924,0.99053043,0.74931467,0.7075385,0.6448556,0.85376924,0.89554554,0.7075293
23,24,0.85376924,0.99053043,0.7284219,0.7284266,0.6448556,0.8328811,0.8746528,0.7075293
24,25,0.8328765,0.990471,0.7075338,0.8328903,0.66574836,0.8328811,0.89554554,0.7075293
25,26,0.81198376,0.9905807,0.7284219,0.6866457,0.6448556,0.8328811,0.8537646,0.7075293
26,27,0.81198376,0.9904711,0.7284219,0.79109097,0.6448556,0.8328811,0.8746528,0.7075293
27,28,0.81198376,0.9903021,0.7284219,0.7075432,0.6448556,0.8328811,0.8746528,0.7075293
28,29,0.81198376,0.9900279,0.68663645,0.7284266,0.6239675,0.8328811,0.85376006,0.7075293
29,30,0.81198376,0.9903204,0.7493101,0.7284312,0.6239675,0.8328811,0.8746528,0.7075293
30,31,0.81198376,0.9902609,0.72841734,0.70753384,0.6448556,0.8328811,0.83287644,0.7075293
31,32,0.81198376,0.99020153,0.7910956,0.79110014,0.6448556,0.8328811,0.83287644,0.7075293
32,33,0.81198376,0.99020153,0.7702029,0.7284358,0.6448556,0.8328811,0.8746528,0.7075293
33,34,0.81198376,0.9898635,0.74931467,0.7493239,0.6448556,0.8328811,0.8746528,0.7075293
34,35,0.81198376,0.9899732,0.7075292,0.77021205,0.6448556,0.8328811,0.85376006,0.7075293
