,k,knn,lof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.59813297,0.6522317,0.59812367,0.59813297,0.736278,0.59813297,0.81162584,0.7362735
1,2,0.8367356,0.7410235,0.6358067,0.7488284,0.736278,0.59813297,0.81162584,0.7362735
2,3,0.87441874,0.8619117,0.7362826,0.7488329,0.736278,0.72371846,0.81162584,0.7362735
3,4,0.87441874,0.91425496,0.69860876,0.7865067,0.7237186,0.7990663,0.84929514,0.7362735
4,5,0.88697827,0.964745,0.7865161,0.7739472,0.7237185,0.8241807,0.86185926,0.7362735
5,6,0.88697827,0.9781926,0.7739564,0.8116258,0.73627335,0.83674026,0.87441874,0.7362735
6,7,0.88697827,0.9784851,0.76139235,0.7865067,0.7488328,0.83674026,0.8618547,0.7362735
7,8,0.88697827,0.9912001,0.7488328,0.7613877,0.7488328,0.84929514,0.8367449,0.7362735
8,9,0.88697827,0.9913744,0.77394265,0.7990663,0.7237139,0.83674026,0.8367403,0.7362735
9,10,0.88697827,0.99169445,0.73627335,0.83674014,0.7237139,0.83674026,0.8367403,0.7362735
10,11,0.88697827,0.991754,0.773952,0.7990662,0.7488328,0.83674026,0.8492952,0.7362735
11,12,0.88697827,0.9920975,0.7990663,0.8116258,0.7488328,0.8492998,0.8241808,0.7362735
12,13,0.88697827,0.97953784,0.73627806,0.7990663,0.73627335,0.8492998,0.8367403,0.7362735
13,14,0.8744234,0.97940516,0.76139235,0.8241853,0.73627335,0.8492998,0.8492998,0.7362735
14,15,0.8744234,0.97953326,0.76139235,0.82418525,0.73627335,0.8492998,0.8492998,0.7362735
15,16,0.88697827,0.9798171,0.7739519,0.81162584,0.73627335,0.8492998,0.8618547,0.7362735
16,17,0.8744234,0.9794647,0.7865114,0.8241899,0.71115905,0.8492998,0.8367449,0.7362735
17,18,0.88697827,0.97939587,0.76139235,0.82418525,0.71115905,0.8492998,0.84929514,0.7362735
18,19,0.8744234,0.9798122,0.74883294,0.82418525,0.736278,0.8492998,0.83673567,0.7362735
19,20,0.8744234,0.9798168,0.79907084,0.82418996,0.7237185,0.8492998,0.87441415,0.7362735
20,21,0.8744234,0.9670789,0.77395177,0.82418525,0.7237185,0.8492998,0.89953315,0.7362735
21,22,0.8744234,0.96742654,0.7739519,0.82418525,0.7237185,0.8492998,0.8869736,0.7362735
22,23,0.8744234,0.9545743,0.7990662,0.8241854,0.7237185,0.8492998,0.8869736,0.7362735
23,24,0.8367448,0.95429045,0.7865068,0.8116257,0.7237185,0.8492998,0.89953315,0.7362735
24,25,0.82418525,0.9544095,0.7865113,0.8367447,0.7237185,0.8492998,0.89953315,0.7362735
25,26,0.82418525,0.9541671,0.77395654,0.82418525,0.73627335,0.8492998,0.8618592,0.7362735
26,27,0.82418525,0.9541671,0.7865068,0.8116257,0.73627335,0.8492998,0.8492952,0.7362735
27,28,0.82418525,0.95400697,0.79906625,0.8367447,0.73627335,0.8492998,0.86185455,0.7362735
28,29,0.82418525,0.9537736,0.7739519,0.81163037,0.73627335,0.8492998,0.87441415,0.7362735
29,30,0.82418525,0.9538514,0.7613877,0.8493089,0.73627335,0.8492998,0.84929967,0.7362735
30,31,0.82418525,0.95356756,0.81163037,0.8493043,0.73627335,0.8492998,0.84929967,0.7362735
31,32,0.82418525,0.9533342,0.76139235,0.8367448,0.73627335,0.8492998,0.81162584,0.7362735
32,33,0.82418525,0.96548635,0.7488375,0.82418525,0.7488328,0.8492998,0.84929967,0.7362735
33,34,0.82418525,0.96478593,0.8116257,0.8241899,0.73627335,0.8492998,0.84929967,0.7362735
34,35,0.82418525,0.96389765,0.8367448,0.8618638,0.7488328,0.8492998,0.81162584,0.7362735
35,36,0.82418525,0.96325207,0.79907084,0.81163037,0.73627335,0.8492998,0.81162584,0.7362735
36,37,0.82418525,0.9625973,0.79906625,0.8367448,0.73627335,0.8492998,0.81162584,0.7362735
37,38,0.82418525,0.9624782,0.7613923,0.8241854,0.73627335,0.8492998,0.8241807,0.7362735
38,39,0.82418525,0.961952,0.76139706,0.82418525,0.7488328,0.8492998,0.8241807,0.7362735
39,40,0.82418525,0.9619475,0.7739518,0.8241899,0.7488328,0.8492998,0.8744141,0.7362735
40,41,0.82418525,0.9618926,0.7739518,0.8116257,0.7488328,0.8492998,0.84929967,0.7362735
41,42,0.82418525,0.96206653,0.7613923,0.8241899,0.7488328,0.8492998,0.84929967,0.7362735
42,43,0.82418525,0.9745665,0.79907084,0.8493043,0.7488328,0.8492998,0.8367402,0.7362735
43,44,0.82418525,0.9746214,0.7990662,0.8241852,0.7488328,0.8492998,0.8367402,0.7362735
44,45,0.82418525,0.974443,0.8116257,0.81163037,0.7613923,0.8492998,0.84929514,0.7362735
45,46,0.82418525,0.9621763,0.7739519,0.8116257,0.7488328,0.8492998,0.83673567,0.7362735
46,47,0.82418525,0.9495665,0.7865114,0.79907554,0.7488328,0.8492998,0.84929967,0.7362735
47,48,0.82418525,0.949443,0.7739519,0.82418996,0.7488328,0.8492998,0.8744141,0.7362735
48,49,0.82418525,0.9492097,0.77394724,0.79907084,0.7613923,0.8492998,0.8744142,0.7362735
49,50,0.82418525,0.9493881,0.7865113,0.83674943,0.7488328,0.8492998,0.86185473,0.7362735
50,51,0.82418525,0.94927824,0.7739518,0.78650665,0.7488328,0.8492998,0.83673567,0.7362735
51,52,0.82418525,0.94909984,0.79907084,0.8116257,0.73627335,0.8492998,0.8492952,0.7362735
52,53,0.82418525,0.9492739,0.7865067,0.7865113,0.7488328,0.8492998,0.8492952,0.7362735
53,54,0.82418525,0.9491548,0.7739518,0.82418525,0.73627335,0.8492998,0.8367403,0.7362735
54,55,0.82418525,0.9491594,0.7865114,0.7865113,0.7488328,0.8492998,0.8367403,0.7362735
55,56,0.82418525,0.9492739,0.79907084,0.7739519,0.7488328,0.8492998,0.8367403,0.7362735
56,57,0.82418525,0.94926924,0.7865113,0.81163037,0.7488328,0.8492998,0.82418543,0.7362735
57,58,0.82418525,0.9492052,0.77395177,0.8241853,0.7613923,0.8492998,0.8367403,0.7362735
