,k,knn,lof,i_forest,loda,hbos,abod,sod,iso_index
0,1,1.0,0.8800708,0.68720806,1.0,0.5620895,1.0,0.8748814,0.6872081
1,2,0.74976283,0.91794825,0.6246488,0.68720806,0.5620895,1.0,0.8748814,0.6872081
2,3,0.81232214,0.98811907,0.5620895,0.5620895,0.5620895,0.62464875,0.8748814,0.6872081
3,4,0.81232214,0.9901168,0.62464875,0.5620895,0.49953023,0.74976736,0.7497674,0.6872081
4,5,0.81232214,0.9910519,0.56208956,0.49953023,0.49953023,0.74976736,0.81232667,0.6872081
5,6,0.81232214,0.99224246,0.68720806,0.62464875,0.5620895,0.68720806,0.8123221,0.6872081
6,7,0.81232214,0.9924111,0.5620895,0.5620895,0.5620895,0.6872081,0.81232667,0.6872081
7,8,0.81232214,0.9922927,0.56208956,0.68720806,0.5620895,0.6246488,0.87488145,0.6872081
8,9,0.81232214,0.9925799,0.49953023,0.56208956,0.5620895,0.6246488,0.9374407,0.6872081
9,10,0.7497674,0.993346,0.62464875,0.56208956,0.5620895,0.6246488,0.81232667,0.6872081
10,11,0.7497674,0.9933506,0.5620895,0.49953023,0.5620895,0.6246488,0.81232667,0.6872081
11,12,0.7497674,0.99364716,0.6246488,0.56208956,0.5620895,0.6246488,0.81232667,0.6872081
12,13,0.7497674,0.99352396,0.6246488,0.68720806,0.5620895,0.6246488,0.81232667,0.6872081
13,14,0.7497674,0.9932914,0.6246488,0.56208956,0.5620895,0.6246488,0.8748814,0.6872081
14,15,0.7497674,0.99330497,0.6246488,0.56208956,0.5620895,0.6246488,0.8748814,0.6872081
15,16,0.7497674,0.9933826,0.5620895,0.6872081,0.5620895,0.6246488,0.81232667,0.6872081
16,17,0.7497674,0.99303603,0.6246488,0.6246488,0.5620895,0.6246488,0.9374407,0.6872081
17,18,0.7497674,0.9927441,0.5620895,0.56208956,0.5620895,0.6246488,0.87488145,0.6872081
18,19,0.7497674,0.99302685,0.49953023,0.49953023,0.5620895,0.6246488,0.81232667,0.6872081
19,20,0.7497674,0.9929219,0.49953023,0.6246488,0.5620895,0.6246488,0.874886,0.6872081
20,21,0.7497674,0.9927395,0.62464875,0.5620895,0.5620895,0.6246488,0.81232667,0.6872081
21,22,0.7497674,0.9927486,0.68720806,0.49953023,0.5620895,0.6246488,0.874886,0.6872081
22,23,0.7497674,0.9925753,0.5620895,0.6246488,0.5620895,0.6246488,0.874886,0.6872081
23,24,0.7497674,0.99239737,0.56208956,0.6872081,0.5620895,0.6246488,0.874886,0.6872081
24,25,0.7497674,0.99251604,0.5620895,0.6246488,0.5620895,0.6246488,0.874886,0.6872081
25,26,0.7497674,0.99263024,0.49953023,0.49953023,0.5620895,0.6246488,0.874886,0.6872081
26,27,0.7497674,0.99257547,0.6246488,0.6246488,0.5620895,0.6246488,0.81232667,0.6872081
27,28,0.7497674,0.99258006,0.6246488,0.56208956,0.5620895,0.6246488,0.9374407,0.6872081
28,29,0.7497674,0.9923612,0.56208956,0.56208956,0.5620895,0.6246488,0.9374407,0.6872081
29,30,0.7497674,0.9925892,0.49953023,0.56208956,0.5620895,0.6246488,0.9374407,0.6872081
30,31,0.7497674,0.9926485,0.6872081,0.56208956,0.5620895,0.6246488,0.9374407,0.6872081
31,32,0.7497674,0.99258924,0.6872081,0.6246488,0.5620895,0.6246488,0.9374407,0.6872081
32,33,0.7497674,0.992352,0.5620895,0.6246443,0.5620895,0.6246488,0.8748814,0.6872081
33,34,0.7497674,0.9921787,0.5620895,0.56208956,0.5620895,0.6246488,0.8748814,0.6872081
34,35,0.7497674,0.9921787,0.6246488,0.6246488,0.5620895,0.6246488,0.8748814,0.6872081
35,36,0.7497674,0.99093807,0.5620895,0.6246488,0.5620895,0.6246488,0.9374407,0.6872081
36,37,0.7497674,0.98992085,0.6246488,0.62464875,0.5620895,0.6246488,0.9374407,0.6872081
37,38,0.7497674,0.98933697,0.62464875,0.62464875,0.5620895,0.6246488,0.9374407,0.6872081
38,39,0.7497674,0.9891591,0.56208956,0.6246488,0.5620895,0.6246488,0.9374407,0.6872081
39,40,0.7497674,0.98916376,0.5620895,0.6246488,0.5620895,0.6246488,0.9374407,0.6872081
40,41,0.7497674,0.9890543,0.6246488,0.6872081,0.5620895,0.6246488,0.9374407,0.6872081
41,42,0.7497674,0.98917294,0.5620895,0.56208956,0.5620895,0.6246488,0.9374407,0.6872081
42,43,0.7497674,0.98912275,0.56208956,0.6246488,0.5620895,0.6246488,0.874886,0.6872081
43,44,0.7497674,0.98912275,0.5620895,0.56208956,0.5620895,0.6246488,0.874886,0.6872081
44,45,0.7497674,0.98924136,0.5620895,0.49953023,0.5620895,0.6246488,0.9374407,0.6872081
45,46,0.7497674,0.9892961,0.56208956,0.62464875,0.5620895,0.6246488,0.8748814,0.6872081
46,47,0.7497674,0.989182,0.6872081,0.6246488,0.6246488,0.6246488,0.9374407,0.6872081
47,48,0.7497674,0.98912275,0.6246488,0.49953023,0.5620895,0.6246488,0.9374407,0.6872081
48,49,0.7497674,0.9890635,0.6872081,0.6246488,0.5620895,0.6246488,0.81232667,0.6872081
49,50,0.7497674,0.9890635,0.6246488,0.6246488,0.5620895,0.6246488,0.8748814,0.6872081
50,51,0.7497674,0.9890635,0.6872081,0.56208956,0.5620895,0.6246488,0.9374407,0.6872081
51,52,0.7497674,0.98900425,0.5620895,0.68720806,0.5620895,0.6246488,0.8748814,0.6872081
52,53,0.7497674,0.98912287,0.49953023,0.56208956,0.5620895,0.6246488,0.74976736,0.6872081
53,54,0.7497674,0.988945,0.5620895,0.49953023,0.6246488,0.6246488,0.74976736,0.6872081
54,55,0.7497674,0.9888903,0.6246488,0.5620895,0.5620895,0.6246488,0.74976736,0.6872081
55,56,0.7497674,0.9890088,0.5620895,0.56208956,0.6246488,0.6246488,0.81232667,0.6872081
56,57,0.7497674,0.9890088,0.6872081,0.56208956,0.5620895,0.6246488,0.81232667,0.6872081
57,58,0.7497674,0.9890089,0.6246488,0.49953023,0.5620895,0.6246488,0.74976736,0.6872081
58,59,0.7497674,0.9888948,0.62464875,0.6246488,0.5620895,0.6246488,0.8748814,0.6872081
59,60,0.7497674,0.98901343,0.6872081,0.68720806,0.5620895,0.6246488,0.81232667,0.6872081
60,61,0.7497674,0.92656815,0.6246488,0.6246488,0.5620895,0.6246488,0.81232667,0.6872081
61,62,0.7497674,0.926746,0.6246488,0.6246488,0.5620895,0.6246488,0.81232667,0.6872081
62,63,0.7497674,0.9266319,0.6872081,0.49953023,0.5620895,0.6246488,0.81232667,0.6872081
63,64,0.7497674,0.9266912,0.5620895,0.49953023,0.5620895,0.6246488,0.81232667,0.6872081
64,65,0.7497674,0.9265133,0.6872081,0.49953023,0.6246488,0.6246488,0.81232667,0.6872081
65,66,0.7497674,0.9266913,0.56208956,0.56208956,0.5620895,0.6246488,0.81232667,0.6872081
66,67,0.7497674,0.9266274,0.6872081,0.56208956,0.5620895,0.6246488,0.81232667,0.6872081
67,68,0.7497674,0.92656803,0.6872081,0.49953023,0.5620895,0.6246488,0.81232667,0.6872081
68,69,0.7497674,0.92680526,0.49953023,0.62464875,0.5620895,0.6246488,0.874886,0.6872081
69,70,0.7497674,0.9265133,0.7497674,0.49953023,0.6246488,0.6246488,0.81232667,0.6872081
70,71,0.7497674,0.92675054,0.6872081,0.6246488,0.5620895,0.6246488,0.74976736,0.6872081
71,72,0.7497674,0.92680526,0.6872081,0.49953023,0.5620895,0.6246488,0.81232667,0.6872081
72,73,0.7497674,0.92686,0.49953023,0.6246488,0.5620895,0.6246488,0.81232667,0.6872081
73,74,0.7497674,0.92675054,0.6246488,0.49953023,0.5620895,0.6246488,0.81232667,0.6872081
74,75,0.7497674,0.9266366,0.5620895,0.62464875,0.6246488,0.6246488,0.74976736,0.6872081
75,76,0.7497674,0.9266366,0.49953023,0.6246488,0.5620895,0.6246488,0.81232667,0.6872081
76,77,0.7497674,0.9265773,0.6872081,0.49953023,0.5620895,0.6246488,0.81232667,0.6872081
77,78,0.7497674,0.9266367,0.6246488,0.56208956,0.5620895,0.6246488,0.81232667,0.6872081
78,79,0.7497674,0.92663205,0.6872081,0.49953023,0.5620895,0.6246488,0.81232667,0.6872081
79,80,0.7497674,0.9266367,0.56208956,0.49953023,0.6246488,0.6246488,0.874886,0.6872081
80,81,0.7497674,0.92669594,0.5620895,0.49953023,0.6246488,0.6246488,0.81232667,0.6872081
81,82,0.7497674,0.92669594,0.7497674,0.6246488,0.5620895,0.6246488,0.81232667,0.6872081
82,83,0.7497674,0.9267552,0.49953023,0.5620895,0.5620895,0.6246488,0.81232667,0.6872081
83,84,0.7497674,0.92669594,0.74976736,0.56208956,0.5620895,0.6246488,0.874886,0.6872081
84,85,0.7497674,0.92669594,0.6872081,0.6246488,0.6246488,0.6246488,0.81232667,0.6872081
85,86,0.7497674,0.9267552,0.5620895,0.5620895,0.5620895,0.6246488,0.81232667,0.6872081
86,87,0.7497674,0.92681444,0.6246488,0.49953023,0.5620895,0.6246488,0.74976736,0.6872081
87,88,0.7497674,0.9267552,0.6872081,0.49953023,0.5620895,0.6246488,0.74976736,0.6872081
