,k,knn,lof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.74952966,0.9162626,0.53036875,0.74952966,0.53036875,0.74952966,0.6869155,0.6556016
1,2,0.780839,0.95537525,0.5616735,0.6242877,0.53036875,0.74952966,0.6869155,0.6556016
2,3,0.780839,0.99206364,0.62429225,0.6555971,0.53036875,0.62429225,0.6869155,0.6556016
3,4,0.74952966,0.9939907,0.5616735,0.59297836,0.5616781,0.81214386,0.780839,0.6556016
4,5,0.74952966,0.99396354,0.686911,0.6242877,0.53036875,0.7808345,0.84345317,0.6556016
5,6,0.74952966,0.9949544,0.5616781,0.6869109,0.5616781,0.7495251,0.8121484,0.6556016
6,7,0.74952966,0.9632799,0.6242877,0.5616735,0.53036875,0.7495251,0.74952966,0.6556016
7,8,0.74952966,0.9635082,0.5616735,0.5929829,0.5616781,0.7495251,0.68691546,0.6556016
8,9,0.74952966,0.96363145,0.6556016,0.6556016,0.53036875,0.7495251,0.780839,0.6556016
9,10,0.74952966,0.9646998,0.6242877,0.6869064,0.53036875,0.7495251,0.74952966,0.6556016
10,11,0.74952966,0.96475005,0.686911,0.62429225,0.53036875,0.7495251,0.74952966,0.6556016
11,12,0.74952966,0.9646953,0.5616735,0.6242922,0.5616781,0.71821576,0.7808345,0.6556016
12,13,0.74952966,0.9642844,0.62429225,0.62429225,0.53036875,0.7495251,0.7808345,0.6556016
13,14,0.74952966,0.96433926,0.6556016,0.62429225,0.5616781,0.7495251,0.74952966,0.6556016
14,15,0.74952966,0.9643986,0.6555971,0.5929829,0.5616781,0.7495251,0.7182249,0.6556016
15,16,0.74952966,0.9647592,0.62429225,0.53036875,0.5616781,0.7495251,0.7182249,0.6556016
16,17,0.74952966,0.96475464,0.5929829,0.6556016,0.5616781,0.7495251,0.74952966,0.6556016
17,18,0.74952966,0.93315315,0.62429225,0.6242968,0.5616781,0.7495251,0.74952966,0.6556016
18,19,0.74952966,0.9330435,0.5929829,0.5616736,0.5616781,0.7495251,0.74952966,0.6556016
19,20,0.7182203,0.96447146,0.65559703,0.71821576,0.5616781,0.7495251,0.74952966,0.6556016
20,21,0.7182203,0.9331027,0.62429225,0.686911,0.5616781,0.7808345,0.7808345,0.6556016
21,22,0.7182203,0.9019166,0.62429225,0.62429225,0.5616781,0.7495251,0.7808345,0.6556016
22,23,0.7182203,0.90196687,0.6869064,0.6242877,0.5616781,0.7495251,0.7808345,0.6556016
23,24,0.7182203,0.9018527,0.6555971,0.6555971,0.5616781,0.7495251,0.74952966,0.6556016
