,1,2,3,4,5,6,7,8,9,10
0,0.0,50.0,33.33333333333333,0.0,60.0,50.0,14.285714285714285,25.0,77.77777777777779,70.0
1,0.0,50.0,33.33333333333333,25.0,0.0,50.0,28.57142857142857,0.0,44.44444444444444,70.0
2,0.0,50.0,33.33333333333333,25.0,20.0,33.33333333333333,85.71428571428571,75.0,55.55555555555556,30.0
3,100.0,0.0,100.0,25.0,60.0,16.666666666666664,85.71428571428571,37.5,44.44444444444444,40.0
4,0.0,100.0,33.33333333333333,75.0,40.0,66.66666666666666,57.14285714285714,50.0,55.55555555555556,40.0
5,100.0,0.0,33.33333333333333,75.0,20.0,33.33333333333333,57.14285714285714,37.5,44.44444444444444,40.0
6,100.0,100.0,100.0,75.0,60.0,83.33333333333334,14.285714285714285,37.5,55.55555555555556,20.0
7,100.0,50.0,66.66666666666666,50.0,40.0,33.33333333333333,42.857142857142854,75.0,55.55555555555556,10.0
8,0.0,50.0,33.33333333333333,75.0,80.0,66.66666666666666,71.42857142857143,37.5,44.44444444444444,10.0
9,100.0,0.0,0.0,25.0,80.0,50.0,42.857142857142854,50.0,77.77777777777779,30.0
10,100.0,100.0,33.33333333333333,50.0,80.0,33.33333333333333,14.285714285714285,75.0,33.33333333333333,40.0
11,0.0,100.0,66.66666666666666,25.0,0.0,33.33333333333333,57.14285714285714,12.5,44.44444444444444,60.0
12,100.0,50.0,100.0,25.0,20.0,50.0,57.14285714285714,37.5,44.44444444444444,40.0
13,100.0,100.0,66.66666666666666,75.0,60.0,66.66666666666666,57.14285714285714,75.0,44.44444444444444,40.0
14,0.0,50.0,66.66666666666666,50.0,20.0,66.66666666666666,85.71428571428571,62.5,66.66666666666666,10.0
15,100.0,100.0,66.66666666666666,50.0,20.0,50.0,28.57142857142857,37.5,77.77777777777779,30.0
16,0.0,50.0,66.66666666666666,75.0,20.0,100.0,71.42857142857143,37.5,33.33333333333333,60.0
17,100.0,0.0,66.66666666666666,50.0,0.0,33.33333333333333,71.42857142857143,37.5,33.33333333333333,30.0
18,0.0,50.0,33.33333333333333,25.0,40.0,16.666666666666664,42.857142857142854,37.5,55.55555555555556,40.0
19,0.0,100.0,100.0,50.0,80.0,66.66666666666666,100.0,50.0,66.66666666666666,50.0
