,1,2,3,4,5,6,7,8,9,10
0,100.0,50.0,33.33333333333333,25.0,40.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
1,100.0,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
2,100.0,50.0,0.0,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
3,100.0,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
4,0.0,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
5,0.0,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
6,100.0,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
7,0.0,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
8,0.0,0.0,0.0,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
9,100.0,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
10,100.0,0.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
11,100.0,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
12,0.0,50.0,0.0,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
13,100.0,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,25.0,11.11111111111111,10.0
14,100.0,50.0,0.0,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
15,0.0,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
16,100.0,0.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
17,0.0,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
18,0.0,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
19,100.0,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0
