,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.5294117,0.68459386,0.6134454,0.5966386,0.66386557,0.54621845,0.66386557,0.6806723,0.6483193
1,2,0.8991597,0.8470588,0.6134454,0.64705884,0.697479,0.54621845,0.66386557,0.6806723,0.6483193
2,3,0.83193284,0.840196,0.6638655,0.630252,0.81512606,0.54621845,0.83193284,0.6806723,0.6483193
3,4,0.83193284,0.86120445,0.7310924,0.71428573,0.7815126,0.5630252,0.86554635,0.7478992,0.6483193
4,5,0.81512606,0.91022414,0.7647059,0.6134454,0.81512606,0.54621845,0.86554635,0.7478992,0.6483193
5,6,0.83193284,0.9114846,0.7815126,0.6806723,0.7983194,0.57983196,0.882353,0.7310924,0.6483193
6,7,0.81512606,0.93095225,0.7815126,0.6638655,0.7815126,0.5630252,0.882353,0.8655462,0.6483193
7,8,0.83193284,0.9464986,0.7983193,0.697479,0.74789923,0.5630252,0.86554635,0.71428573,0.6483193
8,9,0.83193284,0.9630252,0.7983193,0.7142857,0.7815127,0.5630252,0.86554635,0.81512606,0.6483193
9,10,0.83193284,0.9575629,0.7983194,0.6638655,0.74789923,0.5630252,0.86554635,0.8487396,0.6483193
10,11,0.81512606,0.9568626,0.7983194,0.7478992,0.7478992,0.54621845,0.86554635,0.81512624,0.6483193
11,12,0.81512606,0.9586836,0.81512606,0.6806723,0.7310924,0.57983196,0.86554635,0.81512624,0.6483193
12,13,0.81512606,0.9585435,0.81512606,0.73109245,0.7478992,0.5630252,0.86554635,0.83193284,0.6483193
13,14,0.81512606,0.9581233,0.83193284,0.697479,0.7478992,0.5630252,0.86554635,0.83193284,0.6483193
14,15,0.81512606,0.9609243,0.83193284,0.71428573,0.73109245,0.54621845,0.86554635,0.7983194,0.6483193
15,16,0.81512606,0.9609243,0.83193284,0.7310924,0.7478992,0.5630252,0.86554635,0.83193284,0.6483193
16,17,0.81512606,0.9623249,0.83193284,0.697479,0.7478992,0.5630252,0.86554635,0.83193284,0.6483193
17,18,0.81512606,0.9623249,0.83193284,0.64705884,0.7478992,0.5630252,0.86554635,0.83193284,0.6483193
18,19,0.81512606,0.96372545,0.83193284,0.697479,0.7647059,0.57983196,0.86554635,0.83193284,0.6483193
19,20,0.81512606,0.96372545,0.83193284,0.764706,0.7478992,0.57983196,0.86554635,0.83193284,0.6483193
20,21,0.81512606,0.96372545,0.83193284,0.697479,0.71428573,0.54621845,0.86554635,0.83193284,0.6483193
21,22,0.81512606,0.9651259,0.83193284,0.71428573,0.73109245,0.5630252,0.86554635,0.83193284,0.6483193
22,23,0.81512606,0.9665267,0.83193284,0.7310925,0.71428573,0.57983196,0.86554635,0.83193284,0.6483193
23,24,0.81512606,0.9665267,0.83193284,0.71428573,0.71428573,0.5630252,0.86554635,0.83193284,0.6483193
24,25,0.81512606,0.9666667,0.83193284,0.6806723,0.73109245,0.54621845,0.86554635,0.83193284,0.6483193
25,26,0.81512606,0.9668067,0.83193284,0.71428573,0.73109245,0.57983196,0.86554635,0.83193284,0.6483193
26,27,0.81512606,0.9679271,0.83193284,0.7310925,0.73109245,0.5630252,0.86554635,0.83193284,0.6483193
27,28,0.81512606,0.96806717,0.83193284,0.69747895,0.71428573,0.57983196,0.86554635,0.83193284,0.6483193
28,29,0.81512606,0.96932775,0.83193284,0.7478992,0.697479,0.54621845,0.86554635,0.83193284,0.6483193
29,30,0.81512606,0.9707283,0.83193284,0.7310925,0.73109245,0.5630252,0.86554635,0.83193284,0.6483193
30,31,0.81512606,0.9707283,0.83193284,0.697479,0.7478992,0.5630252,0.86554635,0.83193284,0.6483193
31,32,0.81512606,0.96946776,0.83193284,0.7310924,0.71428573,0.5630252,0.86554635,0.83193284,0.6483193
32,33,0.81512606,0.96960783,0.83193284,0.6806723,0.6806723,0.5630252,0.86554635,0.83193284,0.6483193
