,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
47,48,0.8884594,0.93473387,0.89859945,0.7667787,0.8073389,0.56397754,0.90873957,0.85803926,0.59859943
48,49,0.8884594,0.9344538,0.89859945,0.74649864,0.8073389,0.56397754,0.90873957,0.85803926,0.59859943
49,50,0.8884594,0.9331933,0.89859945,0.7971989,0.8073389,0.5538375,0.90873957,0.85803926,0.59859943
50,51,0.8884594,0.9337535,0.89859945,0.77691877,0.78705883,0.57411766,0.90873957,0.8681793,0.59859943
51,52,0.8884594,0.9336134,0.89859945,0.7667787,0.8073389,0.56397754,0.90873957,0.84789926,0.59859943
52,53,0.8884594,0.9334734,0.89859945,0.77691877,0.7870589,0.56397754,0.90873957,0.85803926,0.59859943
53,54,0.8884594,0.9333334,0.89859945,0.77691877,0.8073389,0.56397754,0.90873957,0.85803926,0.59859943
54,55,0.8884594,0.93473387,0.89859945,0.74649864,0.7870588,0.57411766,0.90873957,0.85803926,0.59859943
55,56,0.8884594,0.9345938,0.89859945,0.77691877,0.78705883,0.56397754,0.90873957,0.85803926,0.59859943
56,57,0.8884594,0.9345938,0.89859945,0.7870588,0.79719883,0.56397754,0.90873957,0.85803926,0.59859943
57,58,0.8884594,0.9345938,0.8884594,0.75663865,0.7971989,0.5538375,0.90873957,0.8681793,0.59859943
58,59,0.8884594,0.9445938,0.8884594,0.74649864,0.7971989,0.56397754,0.90873957,0.85803926,0.59859943
59,60,0.8884594,0.9445938,0.8884594,0.74649864,0.8073389,0.57411766,0.90873957,0.85803926,0.59859943
60,61,0.8884594,0.9445938,0.8884594,0.7464986,0.8073389,0.56397754,0.90873957,0.85803926,0.59859943
61,62,0.8884594,0.9445938,0.8884594,0.7566386,0.817479,0.5538375,0.90873957,0.8681793,0.59859943
62,63,0.8884594,0.9445938,0.8884594,0.7566386,0.817479,0.56397754,0.90873957,0.8681793,0.59859943
63,64,0.8884594,0.9445938,0.8884594,0.75663865,0.81747895,0.5538375,0.90873957,0.8681793,0.59859943
64,65,0.8884594,0.9445938,0.8884594,0.8073389,0.77691877,0.56397754,0.90873957,0.8681793,0.59859943
65,66,0.8884594,0.94389355,0.8884594,0.77691877,0.8073389,0.56397754,0.90873957,0.85803926,0.59859943
66,67,0.8884594,0.94347334,0.8884594,0.7363585,0.8073389,0.56397754,0.90873957,0.85803926,0.59859943
67,68,0.8884594,0.9433333,0.8884594,0.75663865,0.7870589,0.56397754,0.90873957,0.85803926,0.59859943
68,69,0.8884594,0.9423528,0.8884594,0.7363585,0.77691877,0.57411766,0.90873957,0.8681793,0.59859943
69,70,0.8884594,0.94221276,0.8884594,0.7363585,0.7971989,0.5538375,0.90873957,0.8681793,0.59859943
70,71,0.8884594,0.9419328,0.8884594,0.77691877,0.8073389,0.56397754,0.90873957,0.8681793,0.59859943
71,72,0.8884594,0.9405322,0.8884594,0.7566387,0.7971989,0.56397754,0.90873957,0.8681793,0.59859943
72,73,0.8884594,0.9405322,0.8884594,0.7667787,0.817479,0.5538375,0.90873957,0.8681793,0.59859943
73,74,0.8884594,0.9405322,0.8884594,0.77691877,0.7971989,0.57411766,0.90873957,0.8681793,0.59859943
74,75,0.8884594,0.94039214,0.8884594,0.7667787,0.8073389,0.57411766,0.90873957,0.8681793,0.59859943
75,76,0.8884594,0.94039214,0.8884594,0.7667787,0.7971989,0.5538375,0.90873957,0.8681793,0.59859943
76,77,0.8884594,0.94039214,0.8884594,0.78705883,0.7971989,0.57411766,0.90873957,0.8681793,0.59859943
77,78,0.8884594,0.93899155,0.8884594,0.75663865,0.78705883,0.57411766,0.90873957,0.8681793,0.59859943
78,79,0.8884594,0.93899155,0.8884594,0.7262185,0.7971989,0.5538375,0.90873957,0.8681793,0.59859943
79,80,0.8884594,0.93759096,0.8884594,0.74649864,0.7971989,0.56397754,0.90873957,0.8681793,0.59859943
80,81,0.8884594,0.93759096,0.8884594,0.77691877,0.7971989,0.56397754,0.90873957,0.8681793,0.59859943
81,82,0.8884594,0.9361905,0.8884594,0.77691877,0.7971989,0.56397754,0.90873957,0.8681793,0.59859943
82,83,0.8884594,0.9361905,0.8884594,0.7667787,0.7971989,0.56397754,0.90873957,0.8681793,0.59859943
83,84,0.8884594,0.9361905,0.8884594,0.7464986,0.7769188,0.56397754,0.90873957,0.8681793,0.59859943
84,85,0.8884594,0.9361905,0.8884594,0.75663865,0.8073389,0.56397754,0.90873957,0.8681793,0.59859943
85,86,0.8884594,0.9361905,0.8884594,0.7363585,0.76677877,0.56397754,0.90873957,0.8681793,0.59859943
86,87,0.8884594,0.9361905,0.8884594,0.7464986,0.7769188,0.56397754,0.90873957,0.8681793,0.59859943
87,88,0.8884594,0.9361905,0.8884594,0.78705883,0.8073389,0.56397754,0.90873957,0.8681793,0.59859943
88,89,0.8884594,0.9361905,0.8884594,0.7363585,0.78705883,0.5639776,0.90873957,0.8681793,0.59859943
89,90,0.8884594,0.9361905,0.8884594,0.7667787,0.7971989,0.57411766,0.90873957,0.8681793,0.59859943
90,91,0.8884594,0.9361905,0.8884594,0.77691877,0.8073389,0.56397754,0.90873957,0.8681793,0.59859943
91,92,0.8884594,0.9361905,0.8884594,0.77691877,0.77691877,0.5538375,0.90873957,0.8681793,0.59859943
92,93,0.8884594,0.9361905,0.8884594,0.7566387,0.7870589,0.57411766,0.90873957,0.8681793,0.59859943
93,94,0.8884594,0.9361905,0.8884594,0.7464986,0.7971989,0.56397754,0.90873957,0.8681793,0.59859943
94,95,0.8884594,0.93507004,0.8884594,0.75663865,0.7971989,0.5842577,0.90873957,0.8681793,0.59859943
95,96,0.8884594,0.9333893,0.8884594,0.76677865,0.77691877,0.56397754,0.90873957,0.8681793,0.59859943
96,97,0.8884594,0.932549,0.8884594,0.77691877,0.78705883,0.56397754,0.90873957,0.8681793,0.59859943
97,98,0.8884594,0.9322689,0.8884594,0.77691877,0.76677877,0.57411766,0.90873957,0.8681793,0.59859943
98,99,0.8884594,0.9322689,0.8884594,0.7971989,0.7971989,0.5538375,0.90873957,0.8681793,0.59859943
