,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.6228992,0.66792715,0.5977591,0.5977591,0.74859947,0.54747903,0.74859947,0.67317927,0.6983194
1,2,0.8240196,0.83872545,0.5977591,0.5977591,0.79887956,0.54747903,0.74859947,0.67317927,0.6983194
2,3,0.79887956,0.82352936,0.5726191,0.6228992,0.7737395,0.54747903,0.74859947,0.67317927,0.6983194
3,4,0.79887956,0.82773113,0.5726191,0.5977591,0.77373946,0.522339,0.7737395,0.74859947,0.6983194
4,5,0.79887956,0.82703084,0.6983194,0.6983194,0.7485994,0.522339,0.7737395,0.6983194,0.6983194
5,6,0.7737395,0.82787114,0.7234594,0.6480392,0.72345936,0.522339,0.7737395,0.79887956,0.6983194
6,7,0.7737395,0.83067214,0.7234594,0.6480392,0.6228992,0.522339,0.7737395,0.7234594,0.6983194
7,8,0.7737395,0.8796918,0.7234594,0.6228992,0.7234594,0.522339,0.79887956,0.79887956,0.6983194
8,9,0.7737395,0.9048319,0.7234594,0.5977591,0.6228992,0.522339,0.79887956,0.7234594,0.6983194
9,10,0.7737395,0.89922965,0.74859947,0.62289923,0.6228992,0.522339,0.79887956,0.7234594,0.6983194
10,11,0.7737395,0.89852935,0.74859947,0.6480393,0.6228992,0.522339,0.79887956,0.8240196,0.6983194
11,12,0.7737395,0.9000701,0.7737395,0.6228992,0.5726191,0.522339,0.79887956,0.8240196,0.6983194
12,13,0.7737395,0.89993,0.7737395,0.62289923,0.5977591,0.522339,0.79887956,0.8240196,0.6983194
13,14,0.7737395,0.8997899,0.7737395,0.6731793,0.6228992,0.522339,0.79887956,0.8240196,0.6983194
14,15,0.7737395,0.90259093,0.7737395,0.6228992,0.5726191,0.522339,0.79887956,0.8240196,0.6983194
15,16,0.7737395,0.90259093,0.7737395,0.6983194,0.5977591,0.522339,0.79887956,0.8240196,0.6983194
16,17,0.7737395,0.9038515,0.7737395,0.6731793,0.54747903,0.522339,0.79887956,0.8240196,0.6983194
