,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.5209022,0.57161206,0.5507292,0.6010625,0.47802573,0.7240992,0.47802573,0.7203708,0.57502174
1,2,0.8490003,0.58348787,0.5507292,0.6532599,0.55818605,0.7240992,0.47802573,0.7203708,0.57502174
2,3,0.875099,0.5786149,0.56377864,0.7091857,0.89374095,0.7240992,0.807988,0.7203708,0.57502174
3,4,0.8788274,0.57792425,0.58055633,0.7371486,0.8695065,0.70732147,0.85272866,0.7483338,0.57502174
4,5,0.88442004,0.57648027,0.58055633,0.7240992,0.89001256,0.7035931,0.86391383,0.75579053,0.57502174
5,6,0.8956052,0.57648027,0.58801305,0.7390128,0.875099,0.6961363,0.875099,0.75206214,0.57502174
6,7,0.89374095,0.5848739,0.5991982,0.75579053,0.8583213,0.7017289,0.87696326,0.7762967,0.57502174
7,8,0.89001256,0.5831498,0.6122476,0.74833375,0.8788274,0.7035931,0.8788274,0.7949386,0.57502174
8,9,0.8862842,0.5864581,0.61970437,0.7352844,0.8862842,0.7017289,0.88069165,0.7968028,0.57502174
9,10,0.89001256,0.58654493,0.61970437,0.740877,0.88442004,0.7017289,0.88069165,0.817309,0.57502174
10,11,0.89001256,0.613711,0.62343276,0.7334202,0.88069165,0.70545727,0.88069165,0.8340867,0.57502174
11,12,0.8881484,0.61427116,0.63275373,0.7576547,0.8788274,0.7017289,0.88069165,0.8210374,0.57502174
12,13,0.89001256,0.62531626,0.6383463,0.740877,0.8881484,0.70918566,0.88069165,0.81917316,0.57502174
13,14,0.8881484,0.62592,0.6439389,0.7296918,0.8788274,0.6942721,0.8825558,0.81544477,0.57502174
14,15,0.8862842,0.6497344,0.65885246,0.75392634,0.87323487,0.7035931,0.8825558,0.8284942,0.57502174
15,16,0.8862842,0.6766203,0.65885246,0.72969186,0.88069165,0.7017289,0.8825558,0.8284942,0.57502174
16,17,0.8862842,0.6979137,0.66630924,0.74646956,0.8825558,0.7017289,0.8862842,0.82662994,0.57502174
17,18,0.88442004,0.73384035,0.673766,0.7576547,0.8676422,0.70545727,0.8862842,0.8378151,0.57502174
18,19,0.88442004,0.75061816,0.6812228,0.7296918,0.8695065,0.6980005,0.8862842,0.83967936,0.57502174
19,20,0.88442004,0.77620006,0.6942721,0.7576547,0.8788274,0.69613636,0.8862842,0.84713614,0.57502174
20,21,0.88442004,0.8228919,0.71291405,0.75392634,0.8713706,0.7017289,0.8862842,0.8415435,0.57502174
21,22,0.88442004,0.854023,0.7240992,0.740877,0.88069165,0.6980005,0.8862842,0.83967936,0.57502174
22,23,0.8825558,0.876997,0.731556,0.740877,0.88069165,0.6980005,0.8862842,0.8322226,0.57502174
23,24,0.8825558,0.8929343,0.74274117,0.7651115,0.8695065,0.6961363,0.8881484,0.835951,0.57502174
24,25,0.8825558,0.90528345,0.7595189,0.7576547,0.87323487,0.7035931,0.89001256,0.8284942,0.57502174
25,26,0.8825558,0.9036994,0.7613831,0.75206214,0.87323487,0.6998647,0.89001256,0.8378151,0.57502174
26,27,0.8825558,0.9041196,0.7762967,0.7390128,0.875099,0.6980005,0.89001256,0.83967936,0.57502174
27,28,0.8825558,0.90253544,0.79121023,0.74460536,0.8713706,0.6998647,0.89001256,0.8322226,0.57502174
28,29,0.8825558,0.89806336,0.81917316,0.7371486,0.87696326,0.6980005,0.89001256,0.8247658,0.57502174
29,30,0.8825558,0.89830005,0.8340867,0.7651115,0.875099,0.6998647,0.8918768,0.82662994,0.57502174
30,31,0.8825558,0.8988603,0.85272866,0.731556,0.8676422,0.6998647,0.8918768,0.82662994,0.57502174
31,32,0.8825558,0.8978799,0.86018544,0.75392634,0.8788274,0.6998647,0.8918768,0.817309,0.57502174
32,33,0.8825558,0.89643586,0.875099,0.74646956,0.875099,0.6924079,0.8918768,0.817309,0.57502174
33,34,0.8825558,0.89872015,0.8788274,0.7707041,0.8713706,0.6980005,0.8918768,0.81544477,0.57502174
34,35,0.8825558,0.8971361,0.8862842,0.740877,0.87323475,0.69240797,0.8918768,0.81544477,0.57502174
35,36,0.8825558,0.89541197,0.89001256,0.7595189,0.87696326,0.7017289,0.8918768,0.81358063,0.57502174
36,37,0.8825558,0.8941514,0.893741,0.7632473,0.87323487,0.6905438,0.89001256,0.817309,0.57502174
37,38,0.8825558,0.8910268,0.8993336,0.7576547,0.88069165,0.6998647,0.89001256,0.81358063,0.57502174
38,39,0.8825558,0.8910268,0.8974694,0.74646956,0.8713706,0.6886795,0.89001256,0.81544477,0.57502174
39,40,0.8825558,0.8910268,0.8974694,0.7613831,0.87696326,0.69240797,0.89001256,0.80985224,0.57502174
40,41,0.88442004,0.89116687,0.8993336,0.7390128,0.8713706,0.6942721,0.89001256,0.80985224,0.57502174
41,42,0.88069165,0.88976634,0.8956052,0.7595189,0.8788274,0.6942721,0.89001256,0.807988,0.57502174
42,43,0.88069165,0.88976634,0.8956052,0.740877,0.875099,0.6886796,0.89001256,0.80239546,0.57502174
43,44,0.88069165,0.88804215,0.8956052,0.7651115,0.8583213,0.6961363,0.89001256,0.7949386,0.57502174
44,45,0.88069165,0.8825461,0.8974694,0.74460536,0.8657781,0.6942721,0.8918768,0.78934604,0.57502174
45,46,0.88069165,0.8825461,0.8993336,0.7707041,0.87323487,0.7035931,0.8918768,0.7968028,0.57502174
46,47,0.88069165,0.8825461,0.9011978,0.740877,0.8713706,0.6961363,0.8918768,0.7949386,0.57502174
47,48,0.88069165,0.8825461,0.8974694,0.75019795,0.8695065,0.6905437,0.8918768,0.7968028,0.57502174
48,49,0.88069165,0.8825461,0.8993336,0.75579053,0.8695065,0.6924079,0.8918768,0.7968028,0.57502174
49,50,0.88069165,0.8825461,0.8956052,0.7613831,0.8676422,0.6905438,0.8918768,0.79121023,0.57502174
50,51,0.88069165,0.8839467,0.8974694,0.7595189,0.8713706,0.6868154,0.8918768,0.78934604,0.57502174
51,52,0.8788274,0.8836665,0.8993336,0.7595189,0.8676422,0.69427216,0.8918768,0.78561765,0.57502174
52,53,0.8788274,0.8819424,0.8993336,0.75019795,0.87323487,0.6942721,0.8918768,0.78375345,0.57502174
53,54,0.8788274,0.8835265,0.8956052,0.7576547,0.875099,0.6868154,0.8918768,0.78748184,0.57502174
54,55,0.8788274,0.8866512,0.893741,0.7595189,0.875099,0.6868154,0.8918768,0.78375345,0.57502174
55,56,0.8788274,0.8865112,0.893741,0.7613831,0.86391383,0.683087,0.8918768,0.78188926,0.57502174
56,57,0.8788274,0.886371,0.8918768,0.7632473,0.8862842,0.7017289,0.8918768,0.78375345,0.57502174
57,58,0.8788274,0.88623106,0.89001256,0.74460536,0.875099,0.6886795,0.8918768,0.78561765,0.57502174
58,59,0.8788274,0.88623106,0.8956052,0.7725683,0.875099,0.7017289,0.8918768,0.77816087,0.57502174
59,60,0.8788274,0.8855308,0.8918768,0.7613831,0.8676422,0.6924079,0.8918768,0.78002506,0.57502174
60,61,0.88069165,0.8851107,0.8918768,0.75206214,0.8695065,0.6886796,0.8918768,0.78002506,0.57502174
61,62,0.8788274,0.8865547,0.89374095,0.7688399,0.86018544,0.69427216,0.8918768,0.78375345,0.57502174
62,63,0.87696326,0.8877185,0.8956052,0.74460536,0.8713706,0.7035931,0.8918768,0.78375345,0.57502174
63,64,0.87696326,0.8872983,0.89374095,0.75206214,0.8657781,0.6942721,0.8918768,0.78002506,0.57502174
64,65,0.87696326,0.88888246,0.89746934,0.75579053,0.8695065,0.6886795,0.8918768,0.77816087,0.57502174
65,66,0.8788274,0.8904665,0.89746934,0.75019795,0.8676422,0.6886796,0.8918768,0.7762967,0.57502174
66,67,0.8788274,0.8901864,0.89746934,0.75019795,0.8713706,0.6998647,0.8918768,0.77816087,0.57502174
67,68,0.87696326,0.8899063,0.8956051,0.75579053,0.875099,0.7017289,0.8918768,0.7762967,0.57502174
68,69,0.87696326,0.8932145,0.8956052,0.740877,0.86391383,0.6849512,0.8918768,0.77070415,0.57502174
69,70,0.87696326,0.8932145,0.89746934,0.7595189,0.87323487,0.6886796,0.8918768,0.76883996,0.57502174
70,71,0.87696326,0.89493865,0.89746934,0.7632473,0.8657781,0.6886795,0.8918768,0.77443254,0.57502174
71,72,0.87696326,0.8935382,0.90119773,0.75392634,0.8695065,0.6961363,0.8918768,0.7744325,0.57502174
72,73,0.87696326,0.8935382,0.90119773,0.7632473,0.8657781,0.69240797,0.8918768,0.7725683,0.57502174
