,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,32.5,37.5,37.5,17.5,10.0,17.5,17.5,37.5,15.0
4,27.500000000000004,37.5,37.5,12.5,7.5,32.5,25.0,37.5,25.0
5,25.0,35.0,27.500000000000004,10.0,20.0,5.0,30.0,37.5,32.5
6,22.5,35.0,30.0,10.0,2.5,7.5,15.0,37.5,32.5
7,32.5,30.0,35.0,7.5,15.0,22.5,27.500000000000004,37.5,32.5
8,25.0,30.0,37.5,7.5,2.5,15.0,35.0,37.5,27.500000000000004
9,27.500000000000004,30.0,37.5,7.5,5.0,25.0,32.5,37.5,42.5
10,32.5,30.0,37.5,7.5,5.0,22.5,30.0,37.5,45.0
11,22.5,30.0,37.5,12.5,5.0,15.0,27.500000000000004,37.5,45.0
12,20.0,30.0,37.5,10.0,12.5,22.5,20.0,37.5,40.0
13,22.5,30.0,37.5,10.0,7.5,20.0,22.5,37.5,45.0
14,15.0,32.5,35.0,10.0,7.5,27.500000000000004,20.0,37.5,47.5
15,17.5,32.5,35.0,12.5,10.0,27.500000000000004,22.5,37.5,32.5
16,15.0,32.5,35.0,15.0,7.5,25.0,20.0,37.5,42.5
17,15.0,32.5,35.0,15.0,2.5,20.0,20.0,37.5,32.5
18,17.5,32.5,32.5,12.5,5.0,20.0,22.5,37.5,45.0
19,25.0,32.5,32.5,12.5,2.5,20.0,25.0,37.5,42.5
20,22.5,32.5,32.5,12.5,7.5,22.5,25.0,37.5,40.0
21,17.5,32.5,32.5,12.5,10.0,30.0,27.500000000000004,37.5,37.5
22,20.0,30.0,32.5,12.5,5.0,22.5,22.5,37.5,32.5
23,20.0,30.0,32.5,12.5,5.0,17.5,25.0,37.5,40.0
24,20.0,27.500000000000004,32.5,12.5,7.5,20.0,25.0,37.5,40.0
