,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
5,10.0,100.0,12.5,22.5,100.0,72.5,100.0,92.5,45.0
6,20.0,100.0,27.500000000000004,40.0,87.5,52.5,100.0,92.5,75.0
7,20.0,100.0,62.5,22.5,87.5,70.0,100.0,92.5,87.5
8,20.0,100.0,85.0,72.5,95.0,72.5,100.0,92.5,90.0
9,42.5,100.0,90.0,30.0,90.0,62.5,100.0,92.5,100.0
10,50.0,100.0,100.0,32.5,90.0,72.5,100.0,92.5,100.0
11,67.5,100.0,100.0,72.5,90.0,70.0,100.0,92.5,100.0
12,82.5,100.0,100.0,72.5,97.5,75.0,100.0,92.5,100.0
13,90.0,100.0,100.0,32.5,97.5,70.0,100.0,92.5,100.0
14,90.0,100.0,100.0,37.5,100.0,87.5,100.0,92.5,100.0
15,90.0,100.0,100.0,72.5,90.0,70.0,100.0,92.5,100.0
16,100.0,100.0,100.0,37.5,90.0,75.0,100.0,92.5,100.0
17,100.0,100.0,100.0,22.5,97.5,72.5,100.0,92.5,100.0
18,100.0,100.0,100.0,72.5,100.0,80.0,100.0,92.5,100.0
19,100.0,100.0,100.0,22.5,100.0,67.5,100.0,92.5,100.0
20,100.0,100.0,100.0,62.5,97.5,67.5,100.0,92.5,100.0
21,100.0,100.0,100.0,37.5,92.5,70.0,100.0,92.5,100.0
22,100.0,100.0,100.0,72.5,100.0,75.0,100.0,92.5,100.0
23,100.0,100.0,100.0,72.5,100.0,70.0,100.0,92.5,100.0
24,100.0,100.0,100.0,72.5,95.0,70.0,100.0,92.5,100.0
25,100.0,100.0,100.0,37.5,95.0,77.5,100.0,92.5,100.0
26,100.0,100.0,100.0,72.5,97.5,65.0,100.0,92.5,100.0
27,100.0,100.0,100.0,22.5,97.5,67.5,100.0,92.5,100.0
28,100.0,100.0,100.0,37.5,82.5,77.5,100.0,92.5,100.0
29,100.0,100.0,100.0,72.5,97.5,80.0,100.0,92.5,100.0
30,100.0,100.0,100.0,37.5,100.0,77.5,100.0,92.5,100.0
31,100.0,100.0,100.0,37.5,87.5,80.0,100.0,92.5,100.0
32,100.0,100.0,100.0,72.5,90.0,77.5,100.0,92.5,100.0
33,100.0,100.0,100.0,72.5,95.0,75.0,100.0,92.5,100.0
34,100.0,100.0,100.0,52.5,97.5,60.0,100.0,92.5,100.0
35,100.0,100.0,100.0,52.5,80.0,77.5,100.0,92.5,100.0
36,100.0,100.0,100.0,72.5,82.5,72.5,100.0,92.5,100.0
37,100.0,100.0,100.0,80.0,97.5,77.5,100.0,92.5,100.0
38,100.0,100.0,100.0,80.0,87.5,82.5,100.0,92.5,100.0
39,100.0,100.0,100.0,70.0,90.0,82.5,100.0,92.5,100.0
40,100.0,100.0,100.0,95.0,85.0,82.5,100.0,92.5,100.0
41,100.0,100.0,100.0,72.5,97.5,77.5,100.0,92.5,100.0
42,100.0,100.0,100.0,60.0,80.0,82.5,100.0,92.5,100.0
43,100.0,100.0,100.0,100.0,92.5,70.0,100.0,92.5,100.0
44,100.0,100.0,100.0,80.0,92.5,80.0,100.0,92.5,100.0
45,100.0,100.0,100.0,65.0,85.0,75.0,100.0,92.5,100.0
46,100.0,100.0,100.0,95.0,87.5,72.5,100.0,92.5,100.0
47,100.0,100.0,100.0,72.5,90.0,72.5,100.0,92.5,100.0
48,100.0,100.0,100.0,100.0,82.5,75.0,100.0,92.5,100.0
49,100.0,100.0,100.0,90.0,82.5,72.5,100.0,92.5,100.0
50,100.0,100.0,100.0,100.0,80.0,80.0,100.0,92.5,100.0
51,100.0,100.0,100.0,57.49999999999999,87.5,77.5,100.0,92.5,100.0
52,100.0,100.0,100.0,100.0,90.0,90.0,100.0,92.5,100.0
53,100.0,100.0,100.0,82.5,80.0,72.5,100.0,92.5,100.0
54,100.0,100.0,100.0,100.0,87.5,77.5,100.0,92.5,100.0
55,100.0,100.0,100.0,80.0,80.0,80.0,100.0,92.5,100.0
56,100.0,100.0,100.0,100.0,87.5,77.5,100.0,92.5,100.0
57,100.0,100.0,100.0,87.5,77.5,72.5,100.0,92.5,100.0
58,100.0,100.0,100.0,100.0,82.5,75.0,100.0,92.5,100.0
59,100.0,100.0,100.0,62.5,82.5,80.0,100.0,92.5,100.0
60,100.0,100.0,100.0,82.5,85.0,80.0,100.0,92.5,100.0
61,100.0,100.0,100.0,97.5,85.0,75.0,100.0,92.5,100.0
62,100.0,100.0,100.0,100.0,80.0,87.5,100.0,92.5,100.0
63,100.0,100.0,100.0,40.0,82.5,75.0,100.0,92.5,100.0
64,100.0,100.0,100.0,72.5,80.0,80.0,100.0,92.5,100.0
65,100.0,100.0,100.0,100.0,85.0,70.0,100.0,92.5,100.0
66,100.0,100.0,100.0,100.0,87.5,87.5,100.0,92.5,100.0
67,100.0,100.0,100.0,62.5,75.0,80.0,100.0,92.5,100.0
68,100.0,100.0,100.0,100.0,77.5,77.5,100.0,92.5,100.0
69,100.0,100.0,100.0,72.5,80.0,77.5,100.0,92.5,100.0
70,100.0,100.0,100.0,100.0,82.5,82.5,100.0,92.5,100.0
71,100.0,100.0,100.0,85.0,87.5,85.0,100.0,92.5,100.0
72,100.0,100.0,100.0,90.0,75.0,80.0,100.0,92.5,100.0
