,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,26.0,40.0,28.999999999999996,49.0,49.0,53.0,25.0,51.0,37.0
10,33.0,51.0,36.0,49.0,61.0,66.0,28.999999999999996,51.0,38.0
17,43.0,56.00000000000001,43.0,50.0,65.0,57.99999999999999,30.0,51.0,44.0
24,50.0,59.0,46.0,53.0,72.0,64.0,31.0,51.0,46.0
31,56.00000000000001,59.0,51.0,53.0,74.0,65.0,33.0,51.0,48.0
38,61.0,64.0,51.0,53.0,71.0,63.0,33.0,51.0,50.0
45,64.0,68.0,51.0,53.0,73.0,66.0,35.0,51.0,51.0
52,64.0,70.0,53.0,55.00000000000001,71.0,59.0,37.0,51.0,49.0
59,64.0,71.0,53.0,52.0,74.0,65.0,37.0,51.0,50.0
66,65.0,70.0,54.0,52.0,76.0,64.0,38.0,51.0,50.0
73,64.0,71.0,54.0,54.0,71.0,63.0,39.0,51.0,52.0
80,64.0,71.0,54.0,55.00000000000001,72.0,67.0,39.0,51.0,54.0
87,65.0,69.0,54.0,55.00000000000001,70.0,63.0,43.0,51.0,52.0
94,66.0,67.0,54.0,55.00000000000001,69.0,68.0,43.0,51.0,54.0
