,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,69.0,77.0,66.0,49.0,43.0,56.00000000000001,67.0,52.0,65.0
4,69.0,76.0,69.0,47.0,23.0,51.0,85.0,52.0,69.0
5,66.0,76.0,64.0,47.0,11.0,50.0,79.0,52.0,74.0
6,66.0,75.0,63.0,43.0,9.0,51.0,78.0,52.0,77.0
7,64.0,75.0,62.0,46.0,12.0,68.0,79.0,52.0,74.0
8,62.0,72.0,61.0,43.0,13.0,59.0,77.0,52.0,74.0
9,61.0,71.0,59.0,47.0,15.0,63.0,77.0,52.0,75.0
10,62.0,71.0,60.0,45.0,14.000000000000002,57.99999999999999,78.0,52.0,74.0
11,61.0,68.0,57.99999999999999,45.0,9.0,68.0,76.0,52.0,70.0
12,61.0,68.0,57.99999999999999,46.0,11.0,68.0,76.0,52.0,66.0
13,63.0,68.0,57.99999999999999,45.0,12.0,66.0,74.0,52.0,66.0
14,63.0,68.0,59.0,42.0,13.0,62.0,75.0,52.0,66.0
15,61.0,68.0,59.0,42.0,9.0,59.0,75.0,52.0,67.0
16,61.0,68.0,61.0,42.0,9.0,68.0,76.0,52.0,66.0
17,60.0,68.0,60.0,41.0,11.0,65.0,75.0,52.0,68.0
18,60.0,67.0,59.0,41.0,10.0,64.0,75.0,52.0,71.0
19,61.0,67.0,57.99999999999999,40.0,7.000000000000001,70.0,73.0,52.0,70.0
20,61.0,65.0,57.99999999999999,44.0,6.0,65.0,74.0,52.0,68.0
21,62.0,64.0,57.99999999999999,42.0,10.0,65.0,74.0,52.0,69.0
22,61.0,64.0,57.99999999999999,41.0,13.0,67.0,72.0,52.0,68.0
23,60.0,64.0,56.99999999999999,43.0,4.0,66.0,72.0,52.0,71.0
24,61.0,64.0,57.99999999999999,40.0,8.0,63.0,71.0,52.0,69.0
