,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,75.0,76.0,71.0,51.0,59.0,54.0,67.0,47.0,73.0
4,73.0,75.0,72.0,43.0,39.0,49.0,74.0,47.0,69.0
5,78.0,75.0,71.0,46.0,23.0,59.0,73.0,47.0,71.0
6,74.0,75.0,73.0,47.0,24.0,54.0,73.0,47.0,70.0
7,74.0,75.0,72.0,47.0,15.0,63.0,75.0,47.0,72.0
8,72.0,74.0,71.0,47.0,14.000000000000002,59.0,75.0,47.0,76.0
9,71.0,72.0,71.0,48.0,16.0,63.0,77.0,47.0,73.0
10,70.0,72.0,70.0,45.0,10.0,59.0,76.0,47.0,73.0
11,70.0,72.0,70.0,44.0,11.0,59.0,76.0,47.0,73.0
12,70.0,72.0,69.0,46.0,15.0,65.0,76.0,47.0,74.0
13,69.0,72.0,68.0,45.0,11.0,65.0,76.0,47.0,79.0
14,69.0,72.0,66.0,45.0,15.0,67.0,76.0,47.0,74.0
15,69.0,72.0,67.0,43.0,11.0,68.0,76.0,47.0,74.0
16,71.0,72.0,67.0,43.0,11.0,63.0,77.0,47.0,72.0
17,72.0,71.0,69.0,43.0,12.0,64.0,77.0,47.0,78.0
18,73.0,71.0,69.0,45.0,5.0,67.0,77.0,47.0,79.0
19,72.0,71.0,68.0,42.0,8.0,63.0,77.0,47.0,76.0
20,70.0,69.0,68.0,44.0,10.0,67.0,77.0,47.0,76.0
21,72.0,69.0,68.0,42.0,9.0,63.0,77.0,47.0,77.0
22,72.0,71.0,68.0,44.0,10.0,70.0,77.0,47.0,76.0
23,71.0,70.0,69.0,42.0,8.0,70.0,77.0,47.0,78.0
24,71.0,70.0,69.0,42.0,9.0,65.0,77.0,47.0,75.0
