,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,75.0,75.0,77.5,50.0,35.0,57.49999999999999,65.0,55.00000000000001,70.0
4,75.0,75.0,75.0,47.5,30.0,52.5,80.0,55.00000000000001,72.5
5,77.5,75.0,77.5,42.5,17.5,65.0,82.5,55.00000000000001,75.0
6,70.0,72.5,80.0,42.5,12.5,55.00000000000001,82.5,55.00000000000001,85.0
7,77.5,72.5,77.5,37.5,5.0,65.0,80.0,55.00000000000001,85.0
8,77.5,67.5,77.5,40.0,10.0,55.00000000000001,77.5,55.00000000000001,80.0
9,75.0,67.5,77.5,40.0,2.5,65.0,77.5,55.00000000000001,80.0
10,72.5,65.0,75.0,40.0,10.0,60.0,77.5,55.00000000000001,85.0
11,70.0,62.5,72.5,40.0,5.0,70.0,77.5,55.00000000000001,72.5
12,67.5,62.5,65.0,40.0,5.0,67.5,75.0,55.00000000000001,72.5
13,70.0,62.5,70.0,42.5,5.0,65.0,75.0,55.00000000000001,72.5
14,72.5,62.5,70.0,40.0,10.0,60.0,75.0,55.00000000000001,72.5
15,72.5,65.0,70.0,40.0,5.0,55.00000000000001,75.0,55.00000000000001,75.0
16,72.5,65.0,70.0,40.0,7.5,62.5,75.0,55.00000000000001,72.5
17,72.5,65.0,70.0,37.5,5.0,65.0,72.5,55.00000000000001,75.0
18,72.5,65.0,65.0,35.0,5.0,67.5,72.5,55.00000000000001,80.0
19,72.5,65.0,62.5,35.0,0.0,60.0,72.5,55.00000000000001,80.0
20,67.5,62.5,62.5,40.0,0.0,60.0,72.5,55.00000000000001,75.0
21,65.0,60.0,62.5,35.0,0.0,62.5,72.5,55.00000000000001,77.5
22,65.0,60.0,60.0,37.5,2.5,62.5,70.0,55.00000000000001,80.0
23,62.5,60.0,60.0,35.0,5.0,57.49999999999999,70.0,55.00000000000001,77.5
24,65.0,60.0,57.49999999999999,35.0,0.0,67.5,70.0,55.00000000000001,70.0
