,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,59.0,68.0,51.0,20.0,69.0,35.0,84.0,68.0,75.0
4,59.0,75.0,54.0,22.0,38.0,34.0,75.0,68.0,39.0
5,59.0,75.0,59.0,25.0,21.0,41.0,75.0,68.0,50.0
6,62.0,75.0,62.0,23.0,15.0,37.0,75.0,68.0,66.0
7,62.0,75.0,62.0,25.0,9.0,43.0,75.0,68.0,73.0
8,62.0,75.0,62.0,25.0,7.000000000000001,47.0,75.0,68.0,73.0
9,68.0,75.0,68.0,25.0,3.0,45.0,75.0,68.0,75.0
10,68.0,75.0,75.0,25.0,1.0,39.0,75.0,68.0,75.0
11,75.0,75.0,75.0,25.0,3.0,46.0,75.0,68.0,75.0
12,75.0,75.0,75.0,25.0,3.0,47.0,75.0,68.0,75.0
13,75.0,75.0,75.0,25.0,1.0,53.0,75.0,68.0,75.0
14,75.0,75.0,75.0,25.0,1.0,48.0,75.0,68.0,75.0
15,75.0,75.0,75.0,25.0,0.0,47.0,75.0,68.0,75.0
16,75.0,75.0,75.0,25.0,0.0,43.0,75.0,68.0,75.0
17,75.0,75.0,75.0,25.0,2.0,56.00000000000001,75.0,68.0,75.0
18,75.0,75.0,75.0,20.0,1.0,49.0,75.0,68.0,75.0
19,75.0,75.0,75.0,25.0,0.0,44.0,75.0,68.0,75.0
20,75.0,75.0,75.0,25.0,0.0,48.0,75.0,68.0,75.0
21,75.0,75.0,75.0,25.0,2.0,52.0,75.0,68.0,75.0
22,68.0,75.0,75.0,25.0,0.0,48.0,75.0,68.0,75.0
23,64.0,75.0,75.0,20.0,2.0,55.00000000000001,75.0,68.0,75.0
24,64.0,75.0,75.0,25.0,0.0,52.0,75.0,68.0,75.0
