,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.5348739,0.6019608,0.5908613,0.6382352,0.52626044,0.6382353,0.52626044,0.7329832,0.68249303
1,2,0.8664916,0.60567224,0.5908613,0.6296218,0.6640756,0.6382353,0.52626044,0.7329832,0.68249303
2,3,0.8794117,0.6032563,0.5865546,0.7157563,0.8707983,0.6382353,0.8492646,0.7329832,0.68249303
3,4,0.8794117,0.6119048,0.595168,0.7502101,0.8578781,0.5865546,0.8837185,0.75021,0.68249303
4,5,0.8794117,0.6535714,0.59086126,0.71144956,0.8707983,0.6080882,0.88802516,0.7760504,0.68249303
5,6,0.875105,0.71218485,0.6080882,0.73728997,0.8535714,0.6080882,0.8837185,0.81050426,0.68249303
6,7,0.8621848,0.7565125,0.5994748,0.7674369,0.8621849,0.5994747,0.8837185,0.78897053,0.68249303
7,8,0.8535714,0.7945728,0.62531507,0.76313025,0.8794117,0.59086126,0.8794117,0.80619746,0.68249303
8,9,0.84926474,0.8233193,0.6511554,0.74159664,0.8837185,0.6123949,0.8837185,0.80189073,0.68249303
9,10,0.8535714,0.86523104,0.6769959,0.77174366,0.8621849,0.5994747,0.8923319,0.81481093,0.68249303
10,11,0.8535714,0.905077,0.7157563,0.77174366,0.8578781,0.5994747,0.8880251,0.82342434,0.68249303
11,12,0.84926474,0.91022414,0.7459034,0.75021005,0.8535713,0.59086126,0.8837185,0.8148109,0.68249303
12,13,0.84495795,0.91022414,0.77605045,0.7545168,0.8664916,0.60378146,0.8923319,0.8018907,0.68249303
13,14,0.84495795,0.91799724,0.7803571,0.72867644,0.875105,0.60808814,0.8880251,0.80619746,0.68249303
14,15,0.84495795,0.92440474,0.8018907,0.75021,0.8578781,0.595168,0.8837185,0.80619746,0.68249303
15,16,0.84926474,0.9242647,0.8148109,0.7846638,0.8707983,0.6037815,0.8837185,0.81050414,0.68249303
16,17,0.84495795,0.9291316,0.827731,0.7459034,0.8707983,0.595168,0.8923319,0.82342434,0.68249303
17,18,0.84495795,0.9291316,0.84495795,0.7889706,0.8664916,0.5994747,0.8923319,0.83203775,0.68249303
18,19,0.84495795,0.93053216,0.8535713,0.7760504,0.8621849,0.60378146,0.88802516,0.8363444,0.68249303
19,20,0.84495795,0.93053216,0.8664916,0.79327726,0.8578781,0.595168,0.88802516,0.83203775,0.68249303
