,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,34.0,44.0,40.0,21.0,23.0,20.0,9.0,24.0,36.0
4,38.0,41.0,39.0,22.0,23.0,22.0,20.0,24.0,34.0
5,36.0,38.0,41.0,23.0,10.0,23.0,26.0,24.0,41.0
6,34.0,35.0,40.0,22.0,5.0,19.0,32.0,24.0,39.0
7,38.0,33.0,41.0,24.0,7.000000000000001,21.0,35.0,24.0,40.0
8,33.0,33.0,44.0,24.0,9.0,22.0,33.0,24.0,49.0
9,32.0,33.0,44.0,24.0,8.0,24.0,31.0,24.0,47.0
10,28.999999999999996,33.0,37.0,24.0,6.0,26.0,31.0,24.0,47.0
11,28.000000000000004,31.0,36.0,24.0,8.0,27.0,28.999999999999996,24.0,41.0
12,27.0,31.0,33.0,24.0,10.0,24.0,36.0,24.0,43.0
13,28.999999999999996,31.0,31.0,25.0,11.0,31.0,36.0,24.0,40.0
14,28.000000000000004,28.999999999999996,30.0,25.0,6.0,22.0,36.0,24.0,41.0
15,26.0,28.000000000000004,27.0,26.0,10.0,23.0,34.0,24.0,42.0
16,27.0,28.000000000000004,26.0,26.0,6.0,31.0,35.0,24.0,42.0
17,25.0,26.0,28.000000000000004,26.0,7.000000000000001,25.0,34.0,24.0,40.0
18,26.0,26.0,24.0,26.0,12.0,23.0,27.0,24.0,38.0
19,25.0,26.0,22.0,25.0,5.0,20.0,28.999999999999996,24.0,41.0
20,26.0,26.0,22.0,25.0,7.000000000000001,24.0,25.0,24.0,41.0
21,24.0,26.0,19.0,26.0,4.0,26.0,24.0,24.0,41.0
22,23.0,26.0,19.0,25.0,4.0,26.0,25.0,24.0,39.0
23,23.0,25.0,20.0,24.0,6.0,19.0,25.0,24.0,35.0
24,21.0,24.0,20.0,25.0,7.000000000000001,28.999999999999996,25.0,24.0,33.0
