,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
5,20.0,100.0,24.0,16.0,100.0,68.0,100.0,92.0,60.0
9,60.0,100.0,88.0,20.0,92.0,64.0,100.0,92.0,100.0
13,88.0,100.0,100.0,24.0,100.0,76.0,100.0,92.0,100.0
17,100.0,100.0,100.0,16.0,96.0,64.0,100.0,92.0,100.0
21,100.0,100.0,100.0,24.0,92.0,68.0,100.0,92.0,100.0
25,100.0,100.0,100.0,24.0,96.0,56.00000000000001,100.0,92.0,100.0
29,100.0,100.0,100.0,60.0,92.0,64.0,100.0,92.0,100.0
33,100.0,100.0,100.0,60.0,96.0,64.0,100.0,92.0,100.0
37,100.0,100.0,100.0,68.0,100.0,68.0,100.0,92.0,100.0
41,100.0,100.0,100.0,60.0,84.0,68.0,100.0,92.0,100.0
45,100.0,100.0,100.0,60.0,68.0,68.0,100.0,92.0,100.0
49,100.0,100.0,100.0,84.0,84.0,68.0,100.0,92.0,100.0
53,100.0,100.0,100.0,84.0,84.0,80.0,100.0,92.0,100.0
57,100.0,100.0,100.0,84.0,72.0,76.0,100.0,92.0,100.0
61,100.0,100.0,100.0,96.0,84.0,76.0,100.0,92.0,100.0
65,100.0,100.0,100.0,100.0,76.0,80.0,100.0,92.0,100.0
69,100.0,100.0,100.0,60.0,72.0,76.0,100.0,92.0,100.0
73,100.0,100.0,100.0,100.0,88.0,76.0,100.0,92.0,100.0
77,100.0,100.0,100.0,76.0,84.0,68.0,100.0,92.0,100.0
81,100.0,100.0,100.0,56.00000000000001,68.0,76.0,100.0,92.0,100.0
85,100.0,100.0,100.0,100.0,76.0,80.0,100.0,92.0,100.0
89,100.0,100.0,100.0,100.0,76.0,64.0,100.0,92.0,100.0
93,100.0,100.0,100.0,96.0,76.0,64.0,100.0,92.0,100.0
97,100.0,100.0,100.0,100.0,76.0,64.0,100.0,92.0,100.0
