,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
54,55,0.8390056,0.89362746,0.8644258,0.762745,0.7881652,0.53396356,0.88984597,0.8220588,0.78109246
55,56,0.8390056,0.89334726,0.8644258,0.7373249,0.79663855,0.55091035,0.88984597,0.8220588,0.78109246
56,57,0.8390056,0.89320725,0.8644258,0.7457983,0.79663855,0.55091035,0.88984597,0.8220588,0.78109246
57,58,0.8390056,0.89292705,0.8644258,0.7373249,0.7881652,0.54243696,0.88984597,0.8220588,0.78109246
58,59,0.8390056,0.89292705,0.8644258,0.7542717,0.7881652,0.54243696,0.88984597,0.7966386,0.78109246
59,60,0.8390056,0.89292705,0.8644258,0.7627451,0.7966386,0.54243696,0.88984597,0.8220588,0.78109246
60,61,0.8390056,0.89292705,0.8644258,0.75427175,0.7881652,0.54243696,0.88984597,0.8220588,0.78109246
61,62,0.8390056,0.89292705,0.8644258,0.7373249,0.7881652,0.54243696,0.88984597,0.8220588,0.78109246
62,63,0.8390056,0.89292705,0.8644258,0.74579823,0.7881652,0.54243696,0.88984597,0.8220588,0.78109246
63,64,0.8390056,0.89292705,0.8644258,0.7203781,0.7881652,0.54243696,0.88984597,0.8220588,0.78109246
64,65,0.8390056,0.89292705,0.8644258,0.73732495,0.7881652,0.54243696,0.88984597,0.8220588,0.78109246
65,66,0.8390056,0.892787,0.8644258,0.7203781,0.7796918,0.53396356,0.88984597,0.8220588,0.78109246
66,67,0.8390056,0.9008403,0.8644258,0.73732495,0.79663855,0.54243696,0.88984597,0.8220588,0.78109246
67,68,0.8390056,0.9005601,0.8644258,0.7457983,0.7881652,0.54243696,0.88984597,0.8220588,0.78109246
68,69,0.8390056,0.90028,0.8644258,0.74579823,0.7881652,0.54243696,0.88984597,0.8220588,0.78109246
69,70,0.8390056,0.90014,0.8644258,0.7542717,0.7796918,0.54243696,0.88984597,0.8220588,0.78109246
70,71,0.8390056,0.8998599,0.8644258,0.7712184,0.79663855,0.53396356,0.88984597,0.8220588,0.78109246
71,72,0.8390056,0.89831936,0.8644258,0.72037816,0.7881652,0.53396356,0.88984597,0.8220588,0.78109246
72,73,0.8390056,0.89831936,0.8644258,0.74579823,0.7881652,0.54243696,0.88984597,0.8220588,0.78109246
