,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,20.0,26.0,28.000000000000004,4.0,2.0,4.0,0.0,12.0,14.000000000000002
4,20.0,22.0,28.000000000000004,4.0,4.0,4.0,12.0,12.0,22.0
5,24.0,20.0,34.0,4.0,0.0,4.0,20.0,12.0,26.0
6,26.0,20.0,36.0,4.0,6.0,4.0,22.0,12.0,26.0
7,28.000000000000004,20.0,36.0,4.0,6.0,4.0,16.0,12.0,30.0
8,26.0,20.0,40.0,4.0,4.0,4.0,18.0,12.0,24.0
9,26.0,20.0,42.0,4.0,2.0,8.0,26.0,12.0,20.0
10,26.0,20.0,40.0,4.0,0.0,0.0,30.0,12.0,28.000000000000004
11,20.0,20.0,42.0,4.0,2.0,0.0,26.0,12.0,24.0
12,24.0,20.0,40.0,4.0,4.0,4.0,26.0,12.0,28.000000000000004
13,20.0,20.0,38.0,4.0,2.0,4.0,24.0,12.0,24.0
14,16.0,20.0,36.0,4.0,2.0,8.0,24.0,12.0,24.0
15,16.0,18.0,36.0,4.0,2.0,6.0,26.0,12.0,26.0
16,16.0,16.0,36.0,4.0,8.0,2.0,24.0,12.0,24.0
17,16.0,16.0,34.0,4.0,6.0,6.0,24.0,12.0,20.0
18,18.0,16.0,34.0,4.0,6.0,4.0,26.0,12.0,22.0
19,16.0,16.0,34.0,4.0,0.0,6.0,24.0,12.0,22.0
20,16.0,16.0,32.0,6.0,4.0,4.0,20.0,12.0,24.0
21,16.0,16.0,32.0,6.0,2.0,2.0,24.0,12.0,22.0
22,16.0,16.0,32.0,4.0,4.0,0.0,22.0,12.0,24.0
23,14.000000000000002,16.0,28.000000000000004,6.0,2.0,6.0,22.0,12.0,22.0
24,14.000000000000002,16.0,28.000000000000004,6.0,2.0,4.0,22.0,12.0,20.0
