,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,74.0,84.0,73.0,46.0,52.0,49.0,68.0,59.0,73.0
4,75.0,82.0,71.0,53.0,17.0,62.0,86.0,59.0,69.0
5,67.0,80.0,71.0,48.0,9.0,51.0,84.0,59.0,76.0
6,67.0,79.0,71.0,46.0,10.0,64.0,83.0,59.0,82.0
7,67.0,77.0,72.0,47.0,4.0,63.0,79.0,59.0,79.0
8,68.0,77.0,72.0,52.0,7.000000000000001,57.99999999999999,80.0,59.0,77.0
9,70.0,74.0,69.0,49.0,11.0,63.0,82.0,59.0,79.0
10,70.0,72.0,70.0,50.0,12.0,62.0,84.0,59.0,74.0
11,72.0,72.0,69.0,47.0,11.0,66.0,84.0,59.0,74.0
12,70.0,72.0,67.0,51.0,13.0,66.0,84.0,59.0,70.0
13,71.0,71.0,68.0,51.0,5.0,63.0,83.0,59.0,73.0
14,70.0,70.0,68.0,51.0,2.0,63.0,83.0,59.0,75.0
15,68.0,68.0,67.0,50.0,6.0,66.0,83.0,59.0,74.0
16,67.0,68.0,66.0,52.0,3.0,68.0,83.0,59.0,73.0
17,67.0,68.0,66.0,51.0,7.000000000000001,65.0,83.0,59.0,76.0
18,70.0,68.0,65.0,52.0,5.0,67.0,83.0,59.0,75.0
19,69.0,68.0,67.0,52.0,4.0,67.0,83.0,59.0,78.0
20,67.0,68.0,63.0,53.0,6.0,72.0,83.0,59.0,71.0
21,67.0,67.0,61.0,52.0,4.0,63.0,83.0,59.0,73.0
22,66.0,67.0,61.0,50.0,4.0,71.0,83.0,59.0,72.0
23,67.0,67.0,61.0,51.0,4.0,68.0,82.0,59.0,69.0
24,67.0,67.0,61.0,54.0,6.0,64.0,81.0,59.0,70.0
