,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,32.5,47.5,45.0,5.0,45.0,37.5,45.0,45.0,5.0
4,42.5,47.5,47.5,5.0,27.500000000000004,17.5,45.0,45.0,35.0
5,45.0,47.5,47.5,5.0,10.0,35.0,47.5,45.0,60.0
6,45.0,47.5,47.5,5.0,12.5,32.5,47.5,45.0,62.5
7,47.5,47.5,47.5,15.0,7.5,35.0,47.5,45.0,45.0
8,45.0,47.5,47.5,15.0,10.0,30.0,47.5,45.0,62.5
9,47.5,47.5,47.5,15.0,12.5,30.0,47.5,45.0,55.00000000000001
10,52.5,47.5,47.5,5.0,15.0,32.5,47.5,45.0,57.49999999999999
11,52.5,47.5,47.5,20.0,10.0,30.0,47.5,45.0,55.00000000000001
12,52.5,47.5,47.5,20.0,10.0,40.0,47.5,45.0,55.00000000000001
13,52.5,47.5,47.5,5.0,2.5,27.500000000000004,47.5,45.0,45.0
14,52.5,47.5,47.5,15.0,2.5,30.0,47.5,45.0,45.0
15,52.5,47.5,47.5,15.0,5.0,27.500000000000004,47.5,45.0,45.0
16,52.5,47.5,47.5,15.0,2.5,30.0,47.5,45.0,45.0
17,52.5,47.5,47.5,20.0,0.0,27.500000000000004,47.5,45.0,45.0
18,52.5,47.5,47.5,20.0,0.0,30.0,47.5,45.0,45.0
19,52.5,47.5,47.5,15.0,0.0,37.5,47.5,45.0,45.0
20,52.5,47.5,47.5,5.0,0.0,37.5,47.5,45.0,45.0
21,52.5,47.5,47.5,5.0,0.0,35.0,47.5,45.0,45.0
22,52.5,47.5,47.5,15.0,2.5,35.0,47.5,45.0,45.0
23,52.5,47.5,47.5,5.0,2.5,40.0,47.5,45.0,45.0
24,52.5,47.5,47.5,15.0,0.0,30.0,47.5,45.0,45.0
