,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,14.000000000000002,40.0,26.0,24.0,26.0,18.0,14.000000000000002,32.0,22.0
4,26.0,38.0,30.0,22.0,14.000000000000002,18.0,14.000000000000002,32.0,32.0
5,26.0,38.0,32.0,20.0,10.0,14.000000000000002,24.0,32.0,42.0
6,34.0,36.0,38.0,20.0,2.0,16.0,22.0,32.0,50.0
7,34.0,36.0,40.0,20.0,6.0,20.0,28.000000000000004,32.0,46.0
8,34.0,36.0,42.0,20.0,4.0,14.000000000000002,30.0,32.0,46.0
9,36.0,36.0,40.0,20.0,4.0,26.0,28.000000000000004,32.0,44.0
10,38.0,36.0,42.0,20.0,10.0,18.0,28.000000000000004,32.0,44.0
11,38.0,36.0,42.0,20.0,4.0,16.0,30.0,32.0,40.0
12,34.0,36.0,38.0,18.0,8.0,18.0,28.000000000000004,32.0,40.0
13,30.0,36.0,38.0,18.0,8.0,18.0,28.000000000000004,32.0,40.0
14,34.0,34.0,38.0,18.0,2.0,28.000000000000004,28.000000000000004,32.0,46.0
15,26.0,34.0,36.0,18.0,2.0,24.0,32.0,32.0,32.0
16,26.0,34.0,36.0,18.0,6.0,22.0,32.0,32.0,42.0
17,24.0,34.0,38.0,18.0,10.0,18.0,34.0,32.0,38.0
18,24.0,34.0,38.0,18.0,2.0,26.0,32.0,32.0,38.0
19,22.0,34.0,38.0,18.0,8.0,16.0,32.0,32.0,36.0
20,20.0,34.0,38.0,18.0,4.0,24.0,30.0,32.0,38.0
21,18.0,34.0,36.0,18.0,2.0,28.000000000000004,32.0,32.0,40.0
22,16.0,34.0,38.0,18.0,8.0,26.0,32.0,32.0,30.0
23,16.0,34.0,38.0,18.0,10.0,28.000000000000004,32.0,32.0,38.0
24,16.0,34.0,36.0,18.0,4.0,28.000000000000004,32.0,32.0,38.0
