,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,80.0,84.0,84.0,40.0,62.0,34.0,60.0,56.00000000000001,84.0
4,80.0,84.0,82.0,36.0,62.0,46.0,74.0,56.00000000000001,78.0
5,88.0,84.0,84.0,36.0,50.0,54.0,78.0,56.00000000000001,72.0
6,90.0,82.0,82.0,34.0,44.0,52.0,80.0,56.00000000000001,78.0
7,90.0,82.0,82.0,34.0,34.0,48.0,82.0,56.00000000000001,72.0
8,90.0,82.0,82.0,32.0,26.0,57.99999999999999,82.0,56.00000000000001,74.0
9,86.0,82.0,82.0,36.0,24.0,62.0,82.0,56.00000000000001,76.0
10,86.0,82.0,82.0,34.0,22.0,54.0,82.0,56.00000000000001,78.0
11,88.0,82.0,82.0,38.0,22.0,56.00000000000001,80.0,56.00000000000001,74.0
12,86.0,82.0,80.0,30.0,18.0,60.0,80.0,56.00000000000001,76.0
13,84.0,82.0,78.0,32.0,20.0,60.0,80.0,56.00000000000001,70.0
14,84.0,82.0,76.0,32.0,14.000000000000002,62.0,78.0,56.00000000000001,72.0
15,84.0,82.0,78.0,32.0,16.0,60.0,78.0,56.00000000000001,72.0
16,82.0,82.0,74.0,30.0,16.0,62.0,78.0,56.00000000000001,70.0
17,80.0,82.0,76.0,28.000000000000004,10.0,64.0,78.0,56.00000000000001,70.0
18,80.0,82.0,74.0,32.0,14.000000000000002,70.0,78.0,56.00000000000001,70.0
19,80.0,80.0,74.0,28.000000000000004,16.0,64.0,78.0,56.00000000000001,74.0
20,80.0,80.0,72.0,34.0,14.000000000000002,66.0,78.0,56.00000000000001,74.0
21,78.0,80.0,74.0,28.000000000000004,8.0,68.0,78.0,56.00000000000001,72.0
22,76.0,78.0,74.0,34.0,8.0,66.0,78.0,56.00000000000001,74.0
23,78.0,76.0,74.0,26.0,14.000000000000002,68.0,78.0,56.00000000000001,72.0
24,78.0,76.0,74.0,28.000000000000004,6.0,68.0,78.0,56.00000000000001,74.0
