,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,60.0,61.0,56.00000000000001,9.0,61.0,31.0,61.0,56.00000000000001,43.0
4,65.0,61.0,56.00000000000001,9.0,49.0,22.0,61.0,56.00000000000001,28.000000000000004
5,65.0,61.0,56.00000000000001,15.0,35.0,30.0,61.0,56.00000000000001,76.0
6,65.0,61.0,56.00000000000001,9.0,24.0,38.0,61.0,56.00000000000001,64.0
7,62.0,61.0,56.00000000000001,15.0,19.0,33.0,61.0,56.00000000000001,78.0
8,64.0,61.0,56.00000000000001,15.0,9.0,21.0,61.0,56.00000000000001,74.0
9,69.0,61.0,56.00000000000001,15.0,9.0,28.000000000000004,61.0,56.00000000000001,74.0
10,63.0,61.0,56.00000000000001,14.000000000000002,7.000000000000001,28.000000000000004,61.0,56.00000000000001,74.0
11,63.0,61.0,61.0,15.0,1.0,30.0,61.0,56.00000000000001,74.0
12,63.0,61.0,61.0,15.0,2.0,30.0,61.0,56.00000000000001,43.0
13,63.0,61.0,61.0,15.0,3.0,30.0,61.0,56.00000000000001,43.0
14,63.0,61.0,61.0,15.0,0.0,28.000000000000004,61.0,56.00000000000001,43.0
15,63.0,61.0,61.0,15.0,0.0,28.000000000000004,61.0,56.00000000000001,43.0
16,63.0,61.0,61.0,15.0,0.0,28.000000000000004,61.0,56.00000000000001,43.0
17,63.0,61.0,61.0,9.0,1.0,31.0,61.0,56.00000000000001,43.0
18,63.0,61.0,61.0,15.0,2.0,25.0,61.0,56.00000000000001,43.0
19,63.0,61.0,61.0,15.0,2.0,28.999999999999996,61.0,56.00000000000001,43.0
20,63.0,61.0,61.0,15.0,2.0,32.0,61.0,56.00000000000001,43.0
21,63.0,61.0,61.0,9.0,3.0,32.0,61.0,56.00000000000001,43.0
22,63.0,61.0,61.0,15.0,5.0,30.0,61.0,56.00000000000001,48.0
23,63.0,61.0,61.0,14.000000000000002,2.0,31.0,61.0,56.00000000000001,56.00000000000001
24,63.0,61.0,61.0,15.0,1.0,26.0,61.0,56.00000000000001,56.00000000000001
