,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,26.0,100.0,37.0,18.0,100.0,53.0,96.0,98.0,77.0
10,90.0,100.0,100.0,33.0,98.0,64.0,100.0,98.0,100.0
17,100.0,100.0,100.0,24.0,100.0,74.0,100.0,98.0,100.0
24,100.0,100.0,100.0,42.0,98.0,69.0,100.0,98.0,100.0
31,100.0,100.0,100.0,46.0,98.0,71.0,100.0,98.0,100.0
38,100.0,100.0,100.0,50.0,94.0,68.0,100.0,98.0,100.0
45,100.0,100.0,100.0,45.0,93.0,69.0,100.0,98.0,100.0
52,100.0,100.0,100.0,73.0,93.0,66.0,100.0,98.0,100.0
59,100.0,100.0,100.0,47.0,93.0,59.0,100.0,98.0,100.0
66,100.0,100.0,100.0,73.0,94.0,69.0,100.0,98.0,100.0
73,100.0,100.0,100.0,73.0,92.0,66.0,100.0,98.0,100.0
80,100.0,100.0,100.0,74.0,95.0,69.0,100.0,98.0,100.0
87,100.0,100.0,100.0,73.0,92.0,66.0,100.0,98.0,100.0
94,100.0,100.0,100.0,67.0,89.0,65.0,100.0,98.0,100.0
