,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,70.0,70.0,64.0,48.0,42.0,50.0,66.0,42.0,70.0
4,72.0,70.0,66.0,48.0,34.0,57.99999999999999,72.0,42.0,68.0
5,68.0,68.0,68.0,48.0,8.0,50.0,70.0,42.0,68.0
6,66.0,68.0,62.0,42.0,18.0,60.0,68.0,42.0,72.0
7,66.0,68.0,62.0,50.0,12.0,54.0,68.0,42.0,74.0
8,66.0,66.0,62.0,44.0,14.000000000000002,64.0,66.0,42.0,70.0
9,64.0,66.0,62.0,48.0,10.0,56.00000000000001,66.0,42.0,70.0
10,62.0,66.0,60.0,46.0,16.0,54.0,64.0,42.0,72.0
11,64.0,66.0,60.0,44.0,14.000000000000002,54.0,64.0,42.0,70.0
12,62.0,66.0,60.0,46.0,14.000000000000002,68.0,64.0,42.0,68.0
13,66.0,66.0,64.0,46.0,8.0,66.0,62.0,42.0,68.0
14,68.0,62.0,62.0,42.0,14.000000000000002,57.99999999999999,64.0,42.0,70.0
15,68.0,62.0,64.0,44.0,10.0,64.0,64.0,42.0,68.0
16,68.0,62.0,66.0,44.0,4.0,52.0,64.0,42.0,68.0
17,70.0,60.0,68.0,42.0,8.0,56.00000000000001,66.0,42.0,68.0
18,72.0,60.0,64.0,44.0,2.0,64.0,66.0,42.0,70.0
19,70.0,60.0,62.0,42.0,8.0,64.0,68.0,42.0,68.0
20,70.0,60.0,64.0,44.0,8.0,52.0,68.0,42.0,64.0
21,70.0,60.0,64.0,42.0,6.0,60.0,68.0,42.0,62.0
22,68.0,60.0,62.0,42.0,10.0,60.0,68.0,42.0,64.0
23,68.0,57.99999999999999,62.0,42.0,10.0,68.0,68.0,42.0,64.0
24,68.0,57.99999999999999,62.0,44.0,6.0,62.0,68.0,42.0,64.0
