,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,40.0,80.0,60.0,0.0,60.0,0.0,60.0,60.0,40.0
4,40.0,80.0,60.0,0.0,60.0,0.0,60.0,60.0,40.0
5,60.0,80.0,60.0,0.0,20.0,60.0,80.0,60.0,60.0
6,80.0,80.0,60.0,0.0,20.0,40.0,80.0,60.0,80.0
7,80.0,80.0,60.0,0.0,0.0,40.0,80.0,60.0,80.0
8,80.0,80.0,80.0,0.0,20.0,40.0,80.0,60.0,80.0
9,80.0,80.0,80.0,0.0,20.0,40.0,80.0,60.0,80.0
10,80.0,80.0,80.0,0.0,0.0,0.0,80.0,60.0,80.0
11,80.0,80.0,80.0,0.0,20.0,40.0,80.0,60.0,80.0
12,80.0,80.0,80.0,0.0,0.0,40.0,80.0,60.0,80.0
13,80.0,80.0,80.0,0.0,0.0,0.0,80.0,60.0,60.0
14,80.0,80.0,80.0,0.0,0.0,0.0,80.0,60.0,60.0
15,80.0,80.0,80.0,0.0,0.0,20.0,80.0,60.0,60.0
16,80.0,80.0,80.0,0.0,0.0,20.0,80.0,60.0,60.0
17,80.0,80.0,80.0,0.0,0.0,40.0,80.0,60.0,60.0
18,80.0,80.0,80.0,0.0,0.0,20.0,80.0,60.0,60.0
19,80.0,80.0,80.0,0.0,0.0,20.0,80.0,60.0,60.0
20,80.0,80.0,80.0,0.0,0.0,20.0,80.0,60.0,60.0
21,80.0,80.0,80.0,0.0,0.0,20.0,80.0,60.0,60.0
22,80.0,80.0,80.0,0.0,0.0,20.0,80.0,60.0,60.0
23,80.0,80.0,80.0,0.0,0.0,40.0,80.0,60.0,60.0
24,80.0,80.0,80.0,0.0,0.0,40.0,80.0,60.0,60.0
