,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,26.666666666666668,45.0,33.33333333333333,26.666666666666668,6.666666666666667,13.333333333333334,10.0,13.333333333333334,18.333333333333332
10,38.333333333333336,48.333333333333336,45.0,25.0,20.0,23.333333333333332,38.333333333333336,13.333333333333334,43.333333333333336
17,25.0,45.0,51.66666666666667,26.666666666666668,18.333333333333332,20.0,41.66666666666667,13.333333333333334,33.33333333333333
24,38.333333333333336,38.333333333333336,58.333333333333336,25.0,18.333333333333332,18.333333333333332,36.666666666666664,13.333333333333334,31.666666666666664
31,38.333333333333336,38.333333333333336,55.00000000000001,25.0,23.333333333333332,25.0,41.66666666666667,13.333333333333334,33.33333333333333
38,35.0,38.333333333333336,56.666666666666664,25.0,13.333333333333334,23.333333333333332,36.666666666666664,13.333333333333334,31.666666666666664
45,40.0,38.333333333333336,55.00000000000001,25.0,16.666666666666664,13.333333333333334,33.33333333333333,13.333333333333334,35.0
52,41.66666666666667,36.666666666666664,55.00000000000001,18.333333333333332,23.333333333333332,23.333333333333332,31.666666666666664,13.333333333333334,33.33333333333333
59,41.66666666666667,33.33333333333333,53.333333333333336,18.333333333333332,20.0,26.666666666666668,31.666666666666664,13.333333333333334,31.666666666666664
66,41.66666666666667,33.33333333333333,53.333333333333336,13.333333333333334,30.0,21.666666666666668,33.33333333333333,13.333333333333334,31.666666666666664
73,43.333333333333336,33.33333333333333,51.66666666666667,13.333333333333334,15.0,21.666666666666668,31.666666666666664,13.333333333333334,31.666666666666664
80,41.66666666666667,33.33333333333333,51.66666666666667,13.333333333333334,21.666666666666668,25.0,33.33333333333333,13.333333333333334,35.0
87,43.333333333333336,33.33333333333333,46.666666666666664,15.0,16.666666666666664,26.666666666666668,35.0,13.333333333333334,38.333333333333336
94,40.0,31.666666666666664,46.666666666666664,15.0,25.0,25.0,35.0,13.333333333333334,36.666666666666664
