,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,76.0,90.0,65.0,12.0,69.0,38.0,87.0,84.0,90.0
4,79.0,87.0,87.0,15.0,45.0,35.0,87.0,84.0,82.0
5,90.0,87.0,87.0,23.0,26.0,38.0,90.0,84.0,85.0
6,93.0,87.0,87.0,23.0,15.0,43.0,93.0,84.0,87.0
7,90.0,87.0,87.0,23.0,8.0,38.0,93.0,84.0,82.0
8,90.0,87.0,87.0,23.0,0.0,35.0,93.0,84.0,82.0
9,90.0,87.0,87.0,23.0,0.0,40.0,90.0,84.0,87.0
10,84.0,87.0,87.0,28.000000000000004,0.0,35.0,90.0,84.0,87.0
11,84.0,87.0,87.0,23.0,0.0,41.0,90.0,84.0,87.0
12,84.0,87.0,87.0,28.000000000000004,0.0,46.0,90.0,84.0,87.0
13,84.0,87.0,87.0,23.0,0.0,43.0,90.0,84.0,87.0
14,84.0,87.0,87.0,23.0,0.0,40.0,90.0,84.0,87.0
15,84.0,87.0,87.0,23.0,0.0,35.0,87.0,84.0,87.0
16,78.0,87.0,87.0,27.0,0.0,44.0,87.0,84.0,87.0
17,78.0,87.0,87.0,23.0,0.0,38.0,87.0,84.0,87.0
18,78.0,87.0,84.0,24.0,0.0,40.0,87.0,84.0,87.0
19,78.0,87.0,84.0,23.0,0.0,40.0,87.0,84.0,87.0
20,78.0,87.0,84.0,34.0,0.0,46.0,87.0,84.0,87.0
21,78.0,87.0,84.0,25.0,0.0,44.0,87.0,84.0,87.0
22,78.0,87.0,84.0,23.0,0.0,43.0,87.0,84.0,87.0
23,78.0,87.0,87.0,34.0,0.0,36.0,87.0,84.0,87.0
24,78.0,87.0,87.0,27.0,0.0,40.0,87.0,84.0,87.0
