,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,82.5,82.5,70.0,40.0,47.5,60.0,75.0,55.00000000000001,72.5
4,77.5,80.0,72.5,40.0,22.5,62.5,85.0,55.00000000000001,75.0
5,80.0,80.0,75.0,42.5,12.5,47.5,85.0,55.00000000000001,85.0
6,80.0,80.0,75.0,45.0,7.5,57.49999999999999,82.5,55.00000000000001,77.5
7,77.5,80.0,80.0,40.0,10.0,55.00000000000001,82.5,55.00000000000001,77.5
8,77.5,77.5,80.0,42.5,17.5,67.5,80.0,55.00000000000001,82.5
9,80.0,77.5,80.0,45.0,12.5,60.0,82.5,55.00000000000001,80.0
10,80.0,75.0,77.5,40.0,15.0,70.0,85.0,55.00000000000001,77.5
11,77.5,72.5,77.5,42.5,12.5,57.49999999999999,82.5,55.00000000000001,77.5
12,72.5,67.5,72.5,52.5,10.0,67.5,82.5,55.00000000000001,77.5
13,77.5,62.5,70.0,52.5,12.5,60.0,82.5,55.00000000000001,80.0
14,72.5,62.5,67.5,52.5,10.0,62.5,82.5,55.00000000000001,70.0
15,70.0,62.5,62.5,52.5,12.5,72.5,82.5,55.00000000000001,62.5
16,65.0,62.5,62.5,55.00000000000001,7.5,67.5,82.5,55.00000000000001,67.5
17,62.5,60.0,60.0,52.5,15.0,67.5,82.5,55.00000000000001,65.0
18,57.49999999999999,60.0,60.0,55.00000000000001,5.0,65.0,82.5,55.00000000000001,70.0
19,60.0,60.0,60.0,50.0,15.0,65.0,82.5,55.00000000000001,67.5
20,57.49999999999999,60.0,60.0,52.5,7.5,62.5,82.5,55.00000000000001,65.0
21,57.49999999999999,60.0,60.0,57.49999999999999,10.0,65.0,82.5,55.00000000000001,65.0
22,57.49999999999999,60.0,60.0,52.5,12.5,77.5,82.5,55.00000000000001,67.5
23,57.49999999999999,60.0,60.0,50.0,10.0,67.5,82.5,55.00000000000001,67.5
24,57.49999999999999,60.0,60.0,52.5,2.5,70.0,82.5,55.00000000000001,70.0
