,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,15.0,30.0,20.0,14.000000000000002,11.0,15.0,3.0,15.0,14.000000000000002
9,24.0,23.0,26.0,15.0,5.0,12.0,19.0,15.0,28.000000000000004
15,26.0,17.0,22.0,15.0,5.0,9.0,23.0,15.0,21.0
21,22.0,17.0,25.0,16.0,4.0,10.0,19.0,15.0,22.0
27,19.0,16.0,23.0,16.0,5.0,13.0,21.0,15.0,24.0
33,13.0,13.0,20.0,16.0,6.0,15.0,18.0,15.0,25.0
39,8.0,12.0,18.0,16.0,3.0,15.0,19.0,15.0,28.000000000000004
45,7.000000000000001,11.0,17.0,15.0,3.0,16.0,21.0,15.0,22.0
51,6.0,10.0,16.0,15.0,5.0,16.0,19.0,15.0,23.0
57,6.0,10.0,14.000000000000002,15.0,4.0,13.0,17.0,15.0,21.0
63,6.0,10.0,13.0,14.000000000000002,3.0,14.000000000000002,13.0,15.0,23.0
69,5.0,10.0,11.0,12.0,4.0,13.0,12.0,15.0,23.0
75,6.0,9.0,10.0,11.0,5.0,12.0,10.0,15.0,24.0
81,6.0,9.0,9.0,11.0,2.0,16.0,10.0,15.0,22.0
87,6.0,9.0,9.0,11.0,7.000000000000001,13.0,10.0,15.0,20.0
93,7.000000000000001,9.0,8.0,10.0,4.0,15.0,10.0,15.0,19.0
99,9.0,9.0,8.0,10.0,1.0,16.0,10.0,15.0,18.0
