,N,d,KNN,LOF,Isolation Forest,LODA,HBOS,ABOD,SOD,COF,Isolation Index
0,50,20,0.0006667773,0.004059156,0.03168106,0.015574376,1.0742494,0.44366416,1.7127119,0.009168148,0.0006894271
0,100,20,0.0,0.0029422443,0.029438734,0.014489015,0.0033529599,0.17436297,0.018798431,0.020124277,0.0010093054
0,500,20,0.00037240982,0.0074137845,0.036448557,0.02663064,0.0052727857,0.925471,0.1460762,0.11401097,0.0031399727
0,1000,20,0.00036406517,0.008907239,0.03565232,0.02867484,0.0057118735,2.0802855,0.41937605,0.36942348,0.012655814
0,5000,20,0.00034070015,0.05793492,0.057929754,0.06246543,0.012255986,10.7581415,8.281409,6.447327,0.24757616
0,20000,20,0.00319465,1.0857798,0.18008208,0.21103413,0.03907442,39.42282,125.16006,169.81999,2.9723208
