,k,knn,lof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.53571427,0.57020307,0.60854346,0.56302524,0.61764705,0.56302524,0.6813726,0.570028
1,2,0.87254894,0.55374646,0.60854346,0.70868355,0.61764705,0.56302524,0.6813726,0.570028
2,3,0.8816526,0.64460784,0.65406156,0.872549,0.61764705,0.8452381,0.6813726,0.570028
3,4,0.89075625,0.74614847,0.72689074,0.8816526,0.5721289,0.8816526,0.74509805,0.570028
4,5,0.89075625,0.79971987,0.6631653,0.8634454,0.6085435,0.8816526,0.73599446,0.570028
5,6,0.8816526,0.8541666,0.70868355,0.87254906,0.5721289,0.8816526,0.8179272,0.570028
6,7,0.8816526,0.8748249,0.73599446,0.87254906,0.5903362,0.8816526,0.82703084,0.570028
7,8,0.8816526,0.8926821,0.76330537,0.88165265,0.5539216,0.8816526,0.83613443,0.570028
8,9,0.8816526,0.88270307,0.74509805,0.87254906,0.59943986,0.8816526,0.84523803,0.570028
9,10,0.8816526,0.9142157,0.71778715,0.87254906,0.59943986,0.8816526,0.8179272,0.570028
10,11,0.8816526,0.9215686,0.7906162,0.8816527,0.58123255,0.8816526,0.8270308,0.570028
11,12,0.8816526,0.92261904,0.7268908,0.8907563,0.58123255,0.8816526,0.8088236,0.570028
12,13,0.8816526,0.9227941,0.6904762,0.8452381,0.5903362,0.8816526,0.8088236,0.570028
13,14,0.87254906,0.92226887,0.7542017,0.88165265,0.58123255,0.8816526,0.7997199,0.570028
14,15,0.87254906,0.9248949,0.7542017,0.872549,0.5903362,0.8816526,0.8179271,0.570028
15,16,0.87254906,0.924895,0.7086835,0.8907563,0.58123255,0.8816526,0.80882347,0.570028
16,17,0.87254906,0.9255953,0.7359944,0.89985996,0.5721289,0.89075625,0.7997199,0.570028
17,18,0.87254906,0.92577034,0.74509805,0.88165265,0.5721289,0.89075625,0.7997199,0.570028
18,19,0.87254906,0.9269958,0.77240896,0.8816527,0.58123255,0.89075625,0.8179271,0.570028
19,20,0.87254906,0.9269958,0.7542017,0.85434175,0.59943986,0.89075625,0.8179271,0.570028
20,21,0.87254906,0.9269958,0.74509805,0.87254906,0.58123255,0.89075625,0.83613443,0.570028
21,22,0.87254906,0.9285714,0.75420165,0.8634454,0.58123255,0.89075625,0.8270308,0.570028
22,23,0.87254906,0.9297969,0.7268908,0.87254906,0.5721289,0.89075625,0.82703084,0.570028
23,24,0.87254906,0.92997193,0.772409,0.85434175,0.56302524,0.89075625,0.82703084,0.570028
24,25,0.87254906,0.92997193,0.76330537,0.8816526,0.58123255,0.89075625,0.8452381,0.570028
25,26,0.87254906,0.93032205,0.7815126,0.84523815,0.58123255,0.89075625,0.8634454,0.570028
26,27,0.87254906,0.9308473,0.76330537,0.8634454,0.5721289,0.89075625,0.8634454,0.570028
27,28,0.87254906,0.9313725,0.7542017,0.8452381,0.58123255,0.89075625,0.8634454,0.570028
28,29,0.87254906,0.932423,0.76330537,0.8634454,0.5721289,0.89075625,0.87254906,0.570028
29,30,0.87254906,0.9338235,0.7724089,0.8634454,0.5903362,0.89075625,0.87254906,0.570028
30,31,0.87254906,0.93417364,0.76330537,0.84523815,0.58123255,0.89075625,0.87254906,0.570028
31,32,0.87254906,0.93294823,0.7906163,0.85434175,0.5721289,0.89075625,0.87254906,0.570028
32,33,0.87254906,0.93329835,0.7542017,0.83613443,0.5903362,0.89075625,0.8634454,0.570028
33,34,0.87254906,0.9346989,0.7633053,0.8634454,0.58123255,0.89075625,0.87254906,0.570028
34,35,0.87254906,0.9346989,0.77240896,0.8452381,0.5721289,0.89075625,0.87254906,0.570028
35,36,0.87254906,0.93504906,0.72689074,0.85434175,0.56302524,0.89075625,0.87254906,0.570028
36,37,0.87254906,0.93364847,0.74509805,0.85434175,0.58123255,0.89075625,0.87254906,0.570028
37,38,0.87254906,0.932423,0.772409,0.85434175,0.5539216,0.89075625,0.87254906,0.570028
38,39,0.87254906,0.932423,0.79061633,0.8452381,0.5903362,0.89075625,0.8634454,0.570028
39,40,0.87254906,0.932423,0.76330537,0.85434175,0.58123255,0.89075625,0.8452381,0.570028
40,41,0.87254906,0.932423,0.76330537,0.83613443,0.5721289,0.89075625,0.85434175,0.570028
41,42,0.87254906,0.93102235,0.7906162,0.8270308,0.58123255,0.89075625,0.8452381,0.570028
42,43,0.87254906,0.93102235,0.76330537,0.83613443,0.5721289,0.89075625,0.8452381,0.570028
43,44,0.87254906,0.93102235,0.772409,0.8452381,0.56302524,0.89075625,0.8452381,0.570028
44,45,0.87254906,0.92331934,0.772409,0.81792724,0.58123255,0.89075625,0.85434175,0.570028
45,46,0.87254906,0.92331934,0.7906163,0.83613443,0.56302524,0.89075625,0.8452381,0.570028
46,47,0.87254906,0.92296916,0.80882365,0.83613443,0.58123255,0.89075625,0.8452381,0.570028
47,48,0.87254906,0.92279404,0.7906162,0.83613443,0.58123255,0.89075625,0.8452381,0.570028
48,49,0.87254906,0.92261904,0.7815127,0.8452381,0.5721289,0.89075625,0.8452381,0.570028
49,50,0.87254906,0.9224439,0.7542017,0.82703084,0.5721289,0.89075625,0.8452381,0.570028
50,51,0.87254906,0.92331934,0.772409,0.8452381,0.58123255,0.89075625,0.8452381,0.570028
51,52,0.87254906,0.9227941,0.7542017,0.8270308,0.5721289,0.89075625,0.8452381,0.570028
52,53,0.87254906,0.92174375,0.772409,0.8270309,0.58123255,0.89075625,0.8452381,0.570028
53,54,0.87254906,0.9213936,0.76330537,0.83613443,0.5721289,0.89075625,0.83613443,0.570028
54,55,0.87254906,0.9227941,0.7815127,0.8270308,0.5721289,0.89075625,0.8452381,0.570028
55,56,0.87254906,0.92261904,0.79972,0.8452381,0.58123255,0.89075625,0.83613443,0.570028
56,57,0.87254906,0.92226887,0.77240896,0.8270308,0.58123255,0.89075625,0.85434175,0.570028
57,58,0.87254906,0.92226887,0.79972,0.8452381,0.58123255,0.89075625,0.85434175,0.570028
58,59,0.87254906,0.9220938,0.7815126,0.8270308,0.58123255,0.89075625,0.83613443,0.570028
59,60,0.87254906,0.93102235,0.7815126,0.83613443,0.5721289,0.89075625,0.83613443,0.570028
60,61,0.87254906,0.93102235,0.7815127,0.8270308,0.56302524,0.89075625,0.83613443,0.570028
61,62,0.87254906,0.93102235,0.772409,0.8270308,0.5721289,0.89075625,0.83613443,0.570028
62,63,0.87254906,0.93102235,0.76330537,0.83613443,0.58123255,0.89075625,0.8452381,0.570028
63,64,0.87254906,0.93102235,0.772409,0.8179272,0.58123255,0.89075625,0.8452381,0.570028
64,65,0.87254906,0.93102235,0.77240896,0.8270308,0.58123255,0.89075625,0.8452381,0.570028
65,66,0.87254906,0.9308473,0.7815127,0.8270308,0.58123255,0.89075625,0.83613443,0.570028
66,67,0.87254906,0.9397759,0.7906163,0.83613443,0.56302524,0.89075625,0.8452381,0.570028
67,68,0.87254906,0.9396008,0.79972,0.82703084,0.56302524,0.89075625,0.8452381,0.570028
68,69,0.87254906,0.9392507,0.772409,0.82703084,0.58123255,0.89075625,0.8452381,0.570028
69,70,0.87254906,0.9390756,0.772409,0.83613443,0.5721289,0.89075625,0.8452381,0.570028
70,71,0.87254906,0.9387255,0.772409,0.8270309,0.58123255,0.89075625,0.8452381,0.570028
71,72,0.87254906,0.9371499,0.7542017,0.8179272,0.56302524,0.89075625,0.8452381,0.570028
72,73,0.87254906,0.93679976,0.79061633,0.8270308,0.5721289,0.89075625,0.8452381,0.570028
73,74,0.87254906,0.9362745,0.79972,0.7997199,0.58123255,0.89075625,0.8452381,0.570028
74,75,0.87254906,0.9362745,0.772409,0.83613443,0.58123255,0.89075625,0.8452381,0.570028
75,76,0.87254906,0.93609947,0.772409,0.81792724,0.58123255,0.89075625,0.8452381,0.570028
76,77,0.87254906,0.9359244,0.7815127,0.8270308,0.5721289,0.89075625,0.8452381,0.570028
77,78,0.87254906,0.9345238,0.7997199,0.8179271,0.5721289,0.89075625,0.8452381,0.570028
78,79,0.87254906,0.9345238,0.7815126,0.8270308,0.56302524,0.89075625,0.8452381,0.570028
79,80,0.87254906,0.9329481,0.7906163,0.8179272,0.58123255,0.89075625,0.8452381,0.570028
80,81,0.87254906,0.9329481,0.7815126,0.8179272,0.58123255,0.89075625,0.8452381,0.570028
81,82,0.87254906,0.93154764,0.76330537,0.7997199,0.5721289,0.89075625,0.8452381,0.570028
82,83,0.87254906,0.93154764,0.7815127,0.8270308,0.5539216,0.89075625,0.8452381,0.570028
83,84,0.87254906,0.93154764,0.7815126,0.82703084,0.58123255,0.89075625,0.8452381,0.570028
84,85,0.87254906,0.93154764,0.76330537,0.8179271,0.5539216,0.89075625,0.8452381,0.570028
85,86,0.87254906,0.93154764,0.76330537,0.8270308,0.5721289,0.89075625,0.8452381,0.570028
86,87,0.87254906,0.93154764,0.77240896,0.80882347,0.58123255,0.89075625,0.8452381,0.570028
87,88,0.87254906,0.93154764,0.76330537,0.8270308,0.5721289,0.89075625,0.8452381,0.570028
88,89,0.87254906,0.93154764,0.7906163,0.8270308,0.58123255,0.89075625,0.8452381,0.570028
89,90,0.87254906,0.93154764,0.77240896,0.8270308,0.58123255,0.89075625,0.8452381,0.570028
90,91,0.87254906,0.93154764,0.772409,0.8270308,0.5539216,0.89075625,0.8452381,0.570028
91,92,0.87254906,0.93154764,0.76330537,0.8179272,0.5721289,0.89075625,0.8452381,0.570028
92,93,0.87254906,0.93154764,0.7815127,0.8088236,0.56302524,0.89075625,0.8452381,0.570028
93,94,0.87254906,0.93154764,0.76330537,0.8270308,0.5539216,0.89075625,0.8452381,0.570028
94,95,0.87254906,0.9310224,0.77240896,0.7997199,0.58123255,0.89075625,0.8452381,0.570028
95,96,0.87254906,0.92979693,0.76330537,0.8088236,0.58123255,0.89075625,0.8452381,0.570028
96,97,0.87254906,0.9292717,0.7815126,0.8088235,0.56302524,0.89075625,0.8452381,0.570028
97,98,0.87254906,0.9289216,0.7815127,0.81792724,0.56302524,0.89075625,0.8452381,0.570028
98,99,0.87254906,0.9282213,0.7815126,0.83613443,0.5721289,0.89075625,0.8452381,0.570028
