,k,knn,lof,i_forest,loda,hbos,abod,sod,iso_index
61,62,0.74859947,0.8595938,0.6857493,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
62,63,0.74859947,0.8595938,0.65432423,0.560049,0.49719885,0.74859947,0.74859947,0.68574935
63,64,0.74859947,0.8595938,0.68574935,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
64,65,0.74859947,0.8595938,0.7171744,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
65,66,0.74859947,0.8588936,0.65432423,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
66,67,0.74859947,0.8588936,0.6857493,0.65432423,0.49719885,0.74859947,0.74859947,0.68574935
67,68,0.74859947,0.8588936,0.6857493,0.6228992,0.49719885,0.74859947,0.74859947,0.68574935
68,69,0.74859947,0.85801816,0.65432423,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
69,70,0.74859947,0.85766804,0.6857493,0.560049,0.49719885,0.74859947,0.74859947,0.68574935
70,71,0.74859947,0.8574929,0.6228991,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
71,72,0.74859947,0.8560924,0.6228992,0.6228991,0.52862394,0.74859947,0.74859947,0.68574935
72,73,0.74859947,0.8557423,0.7171744,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
73,74,0.74859947,0.8555672,0.6857493,0.560049,0.49719885,0.74859947,0.74859947,0.68574935
74,75,0.74859947,0.8553921,0.65432423,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
75,76,0.74859947,0.8553921,0.6857493,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
76,77,0.74859947,0.8553921,0.65432423,0.560049,0.49719885,0.74859947,0.74859947,0.68574935
77,78,0.74859947,0.85399157,0.68574935,0.560049,0.49719885,0.74859947,0.74859947,0.68574935
78,79,0.74859947,0.85399157,0.65432423,0.560049,0.49719885,0.74859947,0.74859947,0.68574935
79,80,0.74859947,0.85259104,0.6857493,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
80,81,0.74859947,0.85259104,0.65432423,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
81,82,0.74859947,0.8511905,0.68574935,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
82,83,0.74859947,0.8511905,0.68574935,0.6228991,0.49719885,0.74859947,0.74859947,0.68574935
83,84,0.74859947,0.8511905,0.65432423,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
84,85,0.74859947,0.8511905,0.65432423,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
85,86,0.74859947,0.8511905,0.6857493,0.6228992,0.49719885,0.74859947,0.74859947,0.68574935
86,87,0.74859947,0.8511905,0.7171744,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
87,88,0.74859947,0.8511905,0.65432423,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
88,89,0.74859947,0.8511905,0.7171744,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
89,90,0.74859947,0.8511905,0.65432423,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
90,91,0.74859947,0.8511905,0.65432423,0.560049,0.49719885,0.74859947,0.74859947,0.68574935
91,92,0.74859947,0.8511905,0.65432423,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
92,93,0.74859947,0.8511905,0.7171744,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
93,94,0.74859947,0.8511905,0.65432423,0.560049,0.49719885,0.74859947,0.74859947,0.68574935
94,95,0.74859947,0.85014004,0.7171744,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
95,96,0.74859947,0.8483893,0.6857493,0.6228992,0.49719885,0.74859947,0.74859947,0.68574935
96,97,0.74859947,0.84803915,0.6857493,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
97,98,0.74859947,0.847514,0.6857493,0.5914741,0.49719885,0.74859947,0.74859947,0.68574935
98,99,0.74859947,0.84698874,0.7171744,0.59147406,0.49719885,0.74859947,0.74859947,0.68574935
