,k,knn,lof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.53739494,0.5750175,0.64662117,0.53739494,0.6273459,0.53739494,0.6723214,0.5485994
1,2,0.8522234,0.6646359,0.63377094,0.6787465,0.6273459,0.53739494,0.6723214,0.5485994
2,3,0.8457983,0.6758403,0.6787465,0.8393733,0.6273459,0.82652307,0.6723214,0.5485994
3,4,0.8650735,0.6859419,0.67874646,0.82009804,0.5630952,0.83294815,0.7172969,0.5485994
4,5,0.8586485,0.69149154,0.71729696,0.8329482,0.6016457,0.8586484,0.7172969,0.5485994
5,6,0.8586485,0.72951674,0.69802165,0.8457983,0.60164565,0.8650735,0.75584733,0.5485994
6,7,0.8457983,0.7505427,0.67232144,0.7943978,0.5887955,0.8586485,0.7494223,0.5485994
7,8,0.83937323,0.76234245,0.67874646,0.8329482,0.5759454,0.8586485,0.7622724,0.5485994
8,9,0.8457983,0.8053922,0.7365721,0.83937323,0.60164565,0.8586485,0.75584733,0.5485994
9,10,0.8265231,0.8201155,0.74299717,0.8393733,0.5952206,0.8586485,0.78154767,0.5485994
10,11,0.8265231,0.8440651,0.7108718,0.8072479,0.58879554,0.8586485,0.82009804,0.5485994
11,12,0.83294815,0.86386555,0.75584733,0.83937323,0.58879554,0.8586485,0.813673,0.5485994
12,13,0.83294815,0.88886553,0.723722,0.8265231,0.58879554,0.8586485,0.7943977,0.5485994
13,14,0.83294815,0.8942402,0.75584733,0.8008228,0.58237046,0.8586485,0.7879727,0.5485994
14,15,0.8265231,0.8966912,0.75584733,0.8265231,0.5887956,0.8650735,0.8008228,0.5485994
15,16,0.8265231,0.8904412,0.74299717,0.8072479,0.5566702,0.8650735,0.80082285,0.5485994
16,17,0.8265231,0.8916667,0.74942225,0.82009804,0.58237046,0.8650735,0.8008228,0.5485994
17,18,0.8265231,0.89184177,0.73657215,0.80724794,0.5695203,0.8650735,0.8008228,0.5485994
18,19,0.8265231,0.8928922,0.723722,0.82009804,0.58237046,0.8650735,0.7943978,0.5485994
19,20,0.8265231,0.8866422,0.7815476,0.81367296,0.5695203,0.8650735,0.8008228,0.5485994
20,21,0.8265231,0.8866422,0.7365721,0.82009804,0.5759454,0.8650735,0.8008228,0.5485994
21,22,0.8265231,0.8882178,0.74942225,0.81367296,0.57594544,0.8650735,0.8072479,0.5485994
22,23,0.8265231,0.88319325,0.7622724,0.8072479,0.58237046,0.8650735,0.7943978,0.5485994
